N threads trial wall_s user_s kernel_s cpu_total_s checksum seed
400 1 1 0.063472 0.063386 0.000086 0.063472 828679322912 123456789
600 1 1 0.217577 0.217183 0.000394 0.217577 146500783793 123456789
800 1 1 0.523701 0.522182 0.001370 0.523552 558985527324 123456789
1000 1 1 1.090090 1.074638 0.005226 1.079864 -203584809775 123456789
2000 1 1 9.879032 9.720781 0.080040 9.800821 -1067493743601 123456789
4000 1 1 243.030673 242.585808 0.401446 242.987254 -4380136852933 123456789
5500 1 1 573.268772 572.753682 0.455966 573.209648 1977819930506 123456789
6000 1 1 709.529830 707.519500 0.993002 708.512502 -6828338004005 123456789
8000 1 1 1466.031131 1464.200141 1.794771 1465.994912 4274878840897 123456789
400 1 1 0.065438 0.065389 0.000052 0.065441 828679322912 123456789
600 1 1 0.219912 0.219690 0.000227 0.219917 146500783793 123456789
800 1 1 0.523174 0.522656 0.000535 0.523191 558985527324 123456789
1000 1 1 1.056669 1.055687 0.001015 1.056702 -203584809775 123456789
2000 1 1 9.506944 9.494635 0.012526 9.507161 -1067493743601 123456789
4000 1 1 255.477387 255.188779 0.291696 255.480475 -4380136852933 123456789
5500 1 1 572.471999 571.835597 0.639628 572.475225 1977819930506 123456789
6000 1 1 702.318133 701.450070 0.833077 702.283147 -6828338004005 123456789
8000 1 1 1455.802823 1453.998873 1.702669 1455.701542 4274878840897 123456789
400 1 1 0.065404 0.065369 0.000032 0.065401 828679322912 123456789
600 1 1 0.222762 0.222337 0.000332 0.222669 146500783793 123456789
800 1 1 0.522498 0.522005 0.000485 0.522490 558985527324 123456789
1000 1 1 1.055754 1.054872 0.000866 1.055738 -203584809775 123456789
2000 1 1 9.553808 9.543974 0.009648 9.553622 -1067493743601 123456789
4000 1 1 255.652890 255.321854 0.326535 255.648389 -4380136852933 123456789
5500 1 1 567.164960 566.530756 0.627681 567.158437 1977819930506 123456789
6000 1 1 702.333754 701.177745 1.097080 702.274825 -6828338004005 123456789
8000 1 1 1466.856831 1465.084502 1.726431 1466.810933 4274878840897 123456789
400 1 1 0.065478 0.065409 0.000065 0.065474 828679322912 123456789
600 1 1 0.221397 0.221022 0.000310 0.221332 146500783793 123456789
800 1 1 0.523082 0.522484 0.000590 0.523074 558985527324 123456789
1000 1 1 1.056177 1.055247 0.000918 1.056165 -203584809775 123456789
2000 1 1 9.586279 9.576119 0.010006 9.586125 -1067493743601 123456789
4000 1 1 259.545424 259.247676 0.296695 259.544371 -4380136852933 123456789
5500 1 1 566.064321 565.386627 0.672710 566.059337 1977819930506 123456789
6000 1 1 711.112911 710.140364 0.930196 711.070560 -6828338004005 123456789
8000 1 1 1492.945491 1491.139118 1.745442 1492.884560 4274878840897 123456789
400 1 1 0.065518 0.065423 0.000091 0.065514 828679322912 123456789
600 1 1 0.219920 0.219608 0.000310 0.219918 146500783793 123456789
800 1 1 0.523239 0.522854 0.000383 0.523237 558985527324 123456789
1000 1 1 1.058299 1.054917 0.003376 1.058293 -203584809775 123456789
2000 1 1 9.579681 9.569688 0.009879 9.579567 -1067493743601 123456789
4000 1 1 251.068849 250.795974 0.279701 251.075675 -4380136852933 123456789
5500 1 1 573.098945 572.431547 0.658203 573.089750 1977819930506 123456789
6000 1 1 707.817645 706.971027 0.842805 707.813832 -6828338004005 123456789
8000 1 1 1479.476633 1477.485811 1.888940 1479.374751 4274878840897 123456789
400 1 1 0.065818 0.065729 0.000085 0.065814 828679322912 123456789
600 1 1 0.221789 0.221543 0.000203 0.221746 146500783793 123456789
800 1 1 0.523942 0.523100 0.000821 0.523921 558985527324 123456789
1000 1 1 1.055991 1.054927 0.001042 1.055969 -203584809775 123456789
2000 1 1 9.642477 9.632561 0.009725 9.642286 -1067493743601 123456789
4000 1 1 242.430488 242.138821 0.276284 242.415105 -4380136852933 123456789
5500 1 1 588.727599 587.987823 0.672101 588.659924 1977819930506 123456789
6000 1 1 700.106161 699.344804 0.752557 700.097361 -6828338004005 123456789
8000 1 1 1458.650251 1456.811698 1.699777 1458.511475 4274878840897 123456789
400 1 1 0.065518 0.065436 0.000079 0.065515 828679322912 123456789
600 1 1 0.219712 0.219682 0.000033 0.219715 146500783793 123456789
800 1 1 0.523046 0.522591 0.000459 0.523050 558985527324 123456789
1000 1 1 1.055821 1.054836 0.000996 1.055832 -203584809775 123456789
2000 1 1 9.628667 9.618405 0.010278 9.628683 -1067493743601 123456789
4000 1 1 252.435847 252.142105 0.291813 252.433918 -4380136852933 123456789
5500 1 1 593.195769 579.932761 5.024269 584.957030 1977819930506 123456789
6000 1 1 714.670459 714.037004 0.645600 714.682604 -6828338004005 123456789
8000 1 1 1441.472711 1440.235694 1.229914 1441.465608 4274878840897 123456789
400 1 1 0.065472 0.065401 0.000068 0.065469 828679322912 123456789
600 1 1 0.219724 0.219577 0.000143 0.219720 146500783793 123456789
800 1 1 0.522821 0.522439 0.000377 0.522816 558985527324 123456789
1000 1 1 1.055453 1.054760 0.000686 1.055446 -203584809775 123456789
2000 1 1 9.473524 9.466400 0.007080 9.473480 -1067493743601 123456789
4000 1 1 240.545155 240.334966 0.210453 240.545419 -4380136852933 123456789
5500 1 1 587.913257 587.403765 0.509906 587.913671 1977819930506 123456789
6000 1 1 709.725028 709.047007 0.616505 709.663512 -6828338004005 123456789
8000 1 1 1463.087809 1461.768242 1.288694 1463.056936 4274878840897 123456789
400 1 1 0.065451 0.065386 0.000060 0.065446 828679322912 123456789
600 1 1 0.219758 0.219609 0.000142 0.219751 146500783793 123456789
800 1 1 0.523016 0.522629 0.000381 0.523010 558985527324 123456789
1000 1 1 1.055543 1.054733 0.000796 1.055529 -203584809775 123456789
2000 1 1 9.632367 9.624350 0.007907 9.632257 -1067493743601 123456789
4000 1 1 260.792586 260.558359 0.230959 260.789318 -4380136852933 123456789
5500 1 1 566.826202 566.339445 0.483289 566.822734 1977819930506 123456789
6000 1 1 715.064342 714.380092 0.666556 715.046648 -6828338004005 123456789
8000 1 1 1456.619219 1455.194258 1.399824 1456.594082 4274878840897 123456789
400 1 1 0.065432 0.065397 0.000031 0.065428 828679322912 123456789
600 1 1 0.219811 0.219623 0.000184 0.219807 146500783793 123456789
800 1 1 0.522907 0.522538 0.000369 0.522907 558985527324 123456789
1000 1 1 1.055703 1.054932 0.000769 1.055701 -203584809775 123456789
2000 1 1 9.514903 9.506467 0.008431 9.514898 -1067493743601 123456789
4000 1 1 237.753275 237.528120 0.224019 237.752139 -4380136852933 123456789
5500 1 1 575.462832 574.905608 0.540909 575.446517 1977819930506 123456789
6000 1 1 718.869725 718.151749 0.661947 718.813696 -6828338004005 123456789
8000 1 1 1489.898727 1488.217743 1.698431 1489.916174 4274878840897 123456789
