N threads trial wall_s user_s kernel_s cpu_total_s checksum seed
400 2 1 0.038656 0.076914 0.000167 0.077081 828679322912 123456789
400 4 1 0.019914 0.079480 0.000110 0.079590 828679322912 123456789
400 8 1 0.016157 0.102676 0.000252 0.102928 828679322912 123456789
400 16 1 0.014350 0.120461 0.000520 0.120981 828679322912 123456789
600 2 1 0.132079 0.262807 0.000617 0.263424 146500783793 123456789
600 4 1 0.066307 0.264958 0.000178 0.265136 146500783793 123456789
600 8 1 0.049891 0.381321 0.000358 0.381679 146500783793 123456789
600 16 1 0.048456 0.411312 0.000970 0.412282 146500783793 123456789
800 2 1 0.316296 0.632180 0.000380 0.632560 558985527324 123456789
800 4 1 0.161654 0.641412 0.001410 0.642822 558985527324 123456789
800 8 1 0.126408 0.951290 0.001231 0.952521 558985527324 123456789
800 16 1 0.113008 1.064892 0.001164 1.066056 558985527324 123456789
1000 2 1 0.633269 1.264789 0.001704 1.266493 -203584809775 123456789
1000 4 1 0.324010 1.289721 0.001791 1.291512 -203584809775 123456789
1000 8 1 0.252942 1.919386 0.004478 1.923864 -203584809775 123456789
1000 16 1 0.223302 2.132179 0.004904 2.137083 -203584809775 123456789
2000 2 1 5.985617 11.910822 0.029403 11.940225 -1067493743601 123456789
2000 4 1 3.230711 12.652539 0.035784 12.688323 -1067493743601 123456789
2000 8 1 2.408197 18.790865 0.039366 18.830231 -1067493743601 123456789
2000 16 1 2.196979 21.030948 0.053698 21.084646 -1067493743601 123456789
4000 2 1 143.416068 286.313316 0.209448 286.522764 -4380136852933 123456789
4000 4 1 84.064076 331.967560 0.606624 332.574184 -4380136852933 123456789
4000 8 1 56.087537 446.829610 0.331369 447.160979 -4380136852933 123456789
4000 16 1 60.116548 593.400028 0.878638 594.278666 -4380136852933 123456789
5500 2 1 391.157256 780.188820 0.153828 780.342648 1977819930506 123456789
5500 4 1 247.868991 990.548776 0.170074 990.718850 1977819930506 123456789
5500 8 1 178.705917 1421.839500 1.336693 1423.176193 1977819930506 123456789
5500 16 1 177.540601 1747.254670 3.250125 1750.504795 1977819930506 123456789
6000 2 1 431.057986 859.486753 0.692547 860.179300 -6828338004005 123456789
6000 4 1 284.887965 1135.681267 0.761765 1136.443032 -6828338004005 123456789
6000 8 1 200.777640 1598.867340 1.428713 1600.296053 -6828338004005 123456789
6000 16 1 206.697634 2038.823937 3.784241 2042.608178 -6828338004005 123456789
8000 2 1 911.490913 1820.131910 1.528683 1821.660593 4274878840897 123456789
8000 4 1 567.704113 2259.976097 1.279125 2261.255222 4274878840897 123456789
