N trial threads wall_s user_s kernel_s cpu_total_s checksum seed
400 1 2 0.043391 0.085904 0.000017 0.085921 828679322912 123456789
400 1 4 0.021633 0.086415 0.000024 0.086439 828679322912 123456789
400 1 8 0.018944 0.121642 0.000215 0.121857 828679322912 123456789
400 1 16 0.017122 0.128113 0.000343 0.128456 828679322912 123456789
600 1 2 0.146824 0.293587 0.000046 0.293633 146500783793 123456789
600 1 4 0.074238 0.293713 0.000164 0.293877 146500783793 123456789
600 1 8 0.061087 0.417321 0.000524 0.417845 146500783793 123456789
600 1 16 0.052930 0.452313 0.000588 0.452901 146500783793 123456789
800 1 2 0.347970 0.695663 0.000219 0.695882 558985527324 123456789
800 1 4 0.181810 0.727021 0.000116 0.727137 558985527324 123456789
800 1 8 0.143629 1.059438 0.001403 1.060841 558985527324 123456789
800 1 16 0.129086 1.173525 0.002587 1.176112 558985527324 123456789
1000 1 2 0.695491 1.390346 0.000330 1.390676 -203584809775 123456789
1000 1 4 0.374495 1.487373 0.000671 1.488044 -203584809775 123456789
1000 1 8 0.286041 2.194322 0.002832 2.197154 -203584809775 123456789
1000 1 16 0.254407 2.377983 0.003390 2.381373 -203584809775 123456789
2000 1 2 6.830734 13.575727 0.014444 13.590171 -1067493743601 123456789
2000 1 4 3.788790 15.092792 0.010930 15.103722 -1067493743601 123456789
2000 1 8 2.796166 22.046230 0.018491 22.064721 -1067493743601 123456789
2000 1 16 2.457466 23.891869 0.035318 23.927187 -1067493743601 123456789
4000 1 2 158.540542 316.931451 0.085434 317.016885 -4380136852933 123456789
4000 1 4 103.302593 412.533708 0.099864 412.633572 -4380136852933 123456789
4000 1 8 67.100151 533.083956 0.416472 533.500428 -4380136852933 123456789
4000 1 16 61.049801 596.103674 0.923350 597.027024 -4380136852933 123456789
5500 1 2 368.696154 737.199937 0.169669 737.369606 1977819930506 123456789
5500 1 4 246.634619 985.677501 0.242135 985.919636 1977819930506 123456789
5500 1 8 184.347218 1467.795574 1.392409 1469.187983 1977819930506 123456789
5500 1 16 173.978903 1704.116065 3.393740 1707.509805 1977819930506 123456789
6000 1 2 473.085885 945.326632 0.228495 945.555127 -6828338004005 123456789
6000 1 4 312.842438 1249.215693 0.333349 1249.549042 -6828338004005 123456789
6000 1 8 221.588789 1766.025109 1.605178 1767.630287 -6828338004005 123456789
6000 1 16 207.104455 2032.079281 3.875413 2035.954694 -6828338004005 123456789
8000 1 2 1006.155661 2010.522613 0.507241 2011.029854 4274878840897 123456789
8000 1 4 669.334464 2670.104426 0.723651 2670.828077 4274878840897 123456789
8000 1 8 534.535618 4255.932442 4.094898 4260.027340 4274878840897 123456789
8000 1 16 481.816819 4720.578376 9.437832 4730.016208 4274878840897 123456789
400 1 2 0.059417 0.118793 0.000027 0.118820 828679322912 123456789
400 1 4 0.029768 0.118977 0.000031 0.119008 828679322912 123456789
400 1 8 0.024129 0.160158 0.000170 0.160328 828679322912 123456789
400 1 16 0.021141 0.168287 0.000236 0.168523 828679322912 123456789
600 1 2 0.199967 0.399639 0.000136 0.399775 146500783793 123456789
600 1 4 0.126627 0.488012 0.000144 0.488156 146500783793 123456789
600 1 8 0.085401 0.643526 0.000513 0.644039 146500783793 123456789
600 1 16 0.075052 0.683703 0.000816 0.684519 146500783793 123456789
800 1 2 0.474822 0.949453 0.000164 0.949617 558985527324 123456789
800 1 4 0.300489 1.198445 0.000419 1.198864 558985527324 123456789
800 1 8 0.229142 1.769133 0.001210 1.770343 558985527324 123456789
800 1 16 0.195391 1.867625 0.002248 1.869873 558985527324 123456789
1000 1 2 0.967104 1.933755 0.000396 1.934151 -203584809775 123456789
1000 1 4 0.638149 2.536533 0.000587 2.537120 -203584809775 123456789
1000 1 8 0.456626 3.609608 0.003364 3.612972 -203584809775 123456789
1000 1 16 0.391689 3.718681 0.004707 3.723388 -203584809775 123456789
2000 1 2 8.309276 16.613032 0.005207 16.618239 -1067493743601 123456789
2000 1 4 5.464377 21.767727 0.005385 21.773112 -1067493743601 123456789
2000 1 8 3.844949 30.491497 0.025586 30.517083 -1067493743601 123456789
2000 1 16 3.332050 31.947642 0.051731 31.999373 -1067493743601 123456789
4000 1 2 160.736495 321.372806 0.071670 321.444476 -4380136852933 123456789
4000 1 4 104.075327 415.448396 0.104369 415.552765 -4380136852933 123456789
4000 1 8 67.141531 534.828278 0.410936 535.239214 -4380136852933 123456789
4000 1 16 59.223705 582.151262 0.913608 583.064870 -4380136852933 123456789
5500 1 2 363.999313 727.420958 0.158681 727.579639 1977819930506 123456789
5500 1 4 240.536911 959.938382 0.231137 960.169519 1977819930506 123456789
5500 1 8 177.353292 1413.279410 1.273423 1414.552833 1977819930506 123456789
5500 1 16 164.114352 1609.841759 3.210531 1613.052290 1977819930506 123456789
6000 1 2 456.333413 911.639789 0.224118 911.863907 -6828338004005 123456789
6000 1 4 300.943580 1202.135371 0.301203 1202.436574 -6828338004005 123456789
6000 1 8 218.788532 1742.862864 1.590454 1744.453318 -6828338004005 123456789
6000 1 16 194.418621 1908.089865 3.646906 1911.736771 -6828338004005 123456789
8000 1 2 992.296188 1981.182228 0.492531 1981.674759 4274878840897 123456789
8000 1 4 646.645028 2581.845920 0.678930 2582.524850 4274878840897 123456789
8000 1 8 521.896291 4142.026177 4.442906 4146.469083 4274878840897 123456789
8000 1 16 471.374934 4614.445360 9.185784 4623.631144 4274878840897 123456789
400 1 2 0.048001 0.095989 0.000020 0.096009 828679322912 123456789
400 1 4 0.025322 0.101187 0.000025 0.101212 828679322912 123456789
400 1 8 0.021511 0.138310 0.000123 0.138433 828679322912 123456789
400 1 16 0.019735 0.158211 0.000210 0.158421 828679322912 123456789
600 1 2 0.185326 0.370632 0.000073 0.370705 146500783793 123456789
600 1 4 0.114594 0.446390 0.000429 0.446819 146500783793 123456789
600 1 8 0.083042 0.592190 0.000524 0.592714 146500783793 123456789
600 1 16 0.075246 0.641719 0.000705 0.642424 146500783793 123456789
800 1 2 0.462949 0.925626 0.000369 0.925995 558985527324 123456789
800 1 4 0.288585 1.154160 0.000215 1.154375 558985527324 123456789
800 1 8 0.214415 1.640108 0.001040 1.641148 558985527324 123456789
800 1 16 0.197106 1.817099 0.002579 1.819678 558985527324 123456789
1000 1 2 0.922437 1.844811 0.000267 1.845078 -203584809775 123456789
1000 1 4 0.594017 2.362862 0.000579 2.363441 -203584809775 123456789
1000 1 8 0.434744 3.380132 0.003007 3.383139 -203584809775 123456789
1000 1 16 0.368037 3.596636 0.004964 3.601600 -203584809775 123456789
2000 1 2 8.031477 16.059485 0.003953 16.063438 -1067493743601 123456789
2000 1 4 5.200091 20.705825 0.005289 20.711114 -1067493743601 123456789
2000 1 8 3.699276 29.291859 0.021668 29.313527 -1067493743601 123456789
2000 1 16 3.156948 31.083571 0.040349 31.123920 -1067493743601 123456789
4000 1 2 159.610609 318.985320 0.086821 319.072141 -4380136852933 123456789
4000 1 4 102.214618 408.536306 0.095337 408.631643 -4380136852933 123456789
4000 1 8 65.535639 522.260141 0.397326 522.657467 -4380136852933 123456789
4000 1 16 55.631872 547.869736 0.829236 548.698972 -4380136852933 123456789
5500 1 2 359.511891 718.400312 0.163199 718.563511 1977819930506 123456789
5500 1 4 238.029158 950.239882 0.222659 950.462541 1977819930506 123456789
5500 1 8 179.277694 1429.545166 1.312126 1430.857292 1977819930506 123456789
5500 1 16 164.535192 1614.250254 3.196083 1617.446337 1977819930506 123456789
6000 1 2 454.215257 907.874511 0.209054 908.083565 -6828338004005 123456789
6000 1 4 297.454232 1187.376132 0.367228 1187.743360 -6828338004005 123456789
6000 1 8 214.789445 1712.068062 1.513604 1713.581666 -6828338004005 123456789
6000 1 16 191.385024 1876.013695 3.642498 1879.656193 -6828338004005 123456789
8000 1 2 981.767218 1960.997373 0.494465 1961.491838 4274878840897 123456789
8000 1 4 641.364916 2557.556994 0.664216 2558.221210 4274878840897 123456789
8000 1 8 508.861157 4046.526604 3.881144 4050.407748 4274878840897 123456789
8000 1 16 453.861889 4450.082828 8.774128 4458.856956 4274878840897 123456789
400 1 2 0.055149 0.110251 0.000027 0.110278 828679322912 123456789
400 1 4 0.028612 0.114384 0.000027 0.114411 828679322912 123456789
400 1 8 0.019630 0.152535 0.000119 0.152654 828679322912 123456789
400 1 16 0.020848 0.167607 0.000222 0.167829 828679322912 123456789
600 1 2 0.185343 0.369995 0.000064 0.370059 146500783793 123456789
600 1 4 0.108304 0.428461 0.000336 0.428797 146500783793 123456789
600 1 8 0.076581 0.590641 0.000388 0.591029 146500783793 123456789
600 1 16 0.064852 0.607518 0.000602 0.608120 146500783793 123456789
800 1 2 0.439376 0.878500 0.000192 0.878692 558985527324 123456789
800 1 4 0.281703 1.124888 0.000217 1.125105 558985527324 123456789
800 1 8 0.204581 1.567910 0.001061 1.568971 558985527324 123456789
800 1 16 0.205076 1.775920 0.002789 1.778709 558985527324 123456789
1000 1 2 0.866221 1.732227 0.000186 1.732413 -203584809775 123456789
1000 1 4 0.570716 2.268777 0.001011 2.269788 -203584809775 123456789
1000 1 8 0.413784 3.249880 0.002723 3.252603 -203584809775 123456789
