N procesos trial wall_s user_s kernel_s cpu_total_s checksum seed
400 2 1 0.047709 0.000135 0.000054 0.000189 -254182613594 123456789
400 4 1 0.024077 0.000605 0.000086 0.000691 -254182613594 123456789
400 8 1 0.012051 0.000382 0.000287 0.000669 -254182613594 123456789
400 16 1 0.011272 0.000227 0.001405 0.001632 -254182613594 123456789
600 2 1 0.160027 0.000251 0.000021 0.000272 -1800397093782 123456789
600 4 1 0.080471 0.000375 0.000062 0.000437 -1800397093782 123456789
600 8 1 0.042333 0.000000 0.000853 0.000853 -1800397093782 123456789
600 16 1 0.037400 0.000000 0.001881 0.001881 -1800397093782 123456789
800 2 1 0.387162 0.000266 0.000059 0.000325 -435162345987 123456789
800 4 1 0.195696 0.000000 0.000569 0.000569 -435162345987 123456789
800 8 1 0.097422 0.000245 0.001056 0.001301 -435162345987 123456789
800 16 1 0.088180 0.000347 0.002106 0.002453 -435162345987 123456789
1000 2 1 0.801180 0.000000 0.000384 0.000384 -315922447560 123456789
1000 4 1 0.393275 0.000622 0.000053 0.000675 -315922447560 123456789
1000 8 1 0.204914 0.000114 0.001056 0.001170 -315922447560 123456789
1000 16 1 0.180618 0.000000 0.002898 0.002898 -315922447560 123456789
2000 2 1 6.956568 0.000000 0.000936 0.000936 -2414817546036 123456789
2000 4 1 3.554380 0.000000 0.001819 0.001819 -2414817546036 123456789
2000 8 1 2.027020 0.000000 0.003510 0.003510 -2414817546036 123456789
2000 16 1 1.854215 0.000369 0.009124 0.009493 -2414817546036 123456789
4000 2 1 83.365282 0.000091 0.003013 0.003104 4577554239012 123456789
4000 4 1 43.201105 0.000000 0.006989 0.006989 4577554239012 123456789
4000 8 1 23.169818 0.000250 0.014051 0.014301 4577554239012 123456789
4000 16 1 23.097268 0.000005 0.058061 0.058066 4577554239012 123456789
5500 2 1 264.067654 0.000000 0.006724 0.006724 254559086983 123456789
5500 4 1 123.000751 0.000366 0.015061 0.015427 254559086983 123456789
5500 8 1 62.128217 0.000496 0.033131 0.033627 254559086983 123456789
5500 16 1 63.928077 0.000000 0.102347 0.102347 254559086983 123456789
6000 2 1 308.587715 0.000055 0.009012 0.009067 -8621624018274 123456789
6000 4 1 157.702885 0.000222 0.018047 0.018269 -8621624018274 123456789
6000 8 1 91.945259 0.000181 0.041014 0.041195 -8621624018274 123456789
6000 16 1 85.848416 0.000292 0.120890 0.121182 -8621624018274 123456789
8000 2 1 776.069780 0.000000 0.016968 0.016968 -10213243652261 123456789
8000 4 1 403.011373 0.000021 0.035984 0.036005 -10213243652261 123456789
8000 8 1 287.422358 0.000052 0.083977 0.084029 -10213243652261 123456789
8000 16 1 459.744404 0.000416 0.277036 0.277452 -10213243652261 123456789
400 2 1 0.050008 0.000189 0.000027 0.000216 -254182613594 123456789
400 4 1 0.025546 0.000212 0.000085 0.000297 -254182613594 123456789
400 8 1 0.013191 0.000000 0.000551 0.000551 -254182613594 123456789
400 16 1 0.012301 0.000000 0.001283 0.001283 -254182613594 123456789
600 2 1 0.165586 0.000216 0.000059 0.000275 -1800397093782 123456789
600 4 1 0.090591 0.000317 0.000080 0.000397 -1800397093782 123456789
600 8 1 0.054011 0.000000 0.000958 0.000958 -1800397093782 123456789
600 16 1 0.052669 0.000000 0.002321 0.002321 -1800397093782 123456789
800 2 1 0.402850 0.000266 0.000098 0.000364 -435162345987 123456789
800 4 1 0.207408 0.000515 0.000067 0.000582 -435162345987 123456789
800 8 1 0.102610 0.000000 0.000989 0.000989 -435162345987 123456789
800 16 1 0.099744 0.000655 0.002188 0.002843 -435162345987 123456789
1000 2 1 0.813919 0.000000 0.000400 0.000400 -315922447560 123456789
1000 4 1 0.414298 0.000266 0.001072 0.001338 -315922447560 123456789
1000 8 1 0.198168 0.000000 0.001453 0.001453 -315922447560 123456789
1000 16 1 0.193427 0.000501 0.002175 0.002676 -315922447560 123456789
2000 2 1 7.318092 0.000000 0.000944 0.000944 -2414817546036 123456789
2000 4 1 3.733970 0.000000 0.001834 0.001834 -2414817546036 123456789
2000 8 1 2.022000 0.000000 0.003904 0.003904 -2414817546036 123456789
2000 16 1 2.001161 0.000470 0.011230 0.011700 -2414817546036 123456789
4000 2 1 82.364865 0.000000 0.004982 0.004982 4577554239012 123456789
4000 4 1 42.812752 0.000212 0.008049 0.008261 4577554239012 123456789
4000 8 1 23.535962 0.000000 0.013937 0.013937 4577554239012 123456789
4000 16 1 20.646846 0.000109 0.050031 0.050140 4577554239012 123456789
