N procesos trial wall_s user_s kernel_s cpu_total_s checksum seed
400 2 1 0.035015 0.000055 0.000232 0.000287 828679322912 123456789
400 4 1 0.018825 0.000086 0.000327 0.000413 828679322912 123456789
600 2 1 0.112956 0.000048 0.000202 0.000250 146500783793 123456789
600 4 1 0.061427 0.000086 0.000360 0.000446 146500783793 123456789
800 2 1 0.270422 0.000048 0.000181 0.000229 558985527324 123456789
800 4 1 0.143968 0.000084 0.000317 0.000401 558985527324 123456789
1000 2 1 0.551595 0.000048 0.000204 0.000252 -203584809775 123456789
1000 4 1 0.334718 0.000097 0.000362 0.000459 -203584809775 123456789
2000 2 1 6.007642 0.000052 0.000340 0.000392 -1067493743601 123456789
2000 4 1 2.820526 0.000101 0.000445 0.000546 -1067493743601 123456789
4000 2 1 128.481924 0.000056 0.000257 0.000313 -4380136852933 123456789
4000 4 1 75.857795 0.000098 0.000465 0.000563 -4380136852933 123456789
5500 2 1 303.887400 0.000057 0.000265 0.000322 1977819930506 123456789
5500 4 1 215.399232 0.000094 0.000453 0.000547 1977819930506 123456789
6000 2 1 395.423207 0.000058 0.000290 0.000348 -6828338004005 123456789
6000 4 1 265.174049 0.000094 0.000439 0.000533 -6828338004005 123456789
8000 2 1 870.858869 0.000056 0.000285 0.000341 4274878840897 123456789
8000 4 1 596.377447 0.000100 0.000440 0.000540 4274878840897 123456789
400 2 1 0.035003 0.000040 0.000192 0.000232 828679322912 123456789
400 4 1 0.019495 0.000089 0.000334 0.000423 828679322912 123456789
600 2 1 0.128798 0.000047 0.000216 0.000263 146500783793 123456789
600 4 1 0.083485 0.000114 0.000413 0.000527 146500783793 123456789
800 2 1 0.390550 0.000066 0.000240 0.000306 558985527324 123456789
800 4 1 0.253201 0.000144 0.000477 0.000621 558985527324 123456789
1000 2 1 0.743749 0.000064 0.000285 0.000349 -203584809775 123456789
1000 4 1 0.528198 0.000153 0.000618 0.000771 -203584809775 123456789
2000 2 1 6.750785 0.000066 0.000263 0.000329 -1067493743601 123456789
2000 4 1 4.687143 0.000157 0.000572 0.000729 -1067493743601 123456789
4000 2 1 138.898999 0.000056 0.000255 0.000311 -4380136852933 123456789
4000 4 1 92.155397 0.000100 0.000446 0.000546 -4380136852933 123456789
5500 2 1 326.055552 0.000056 0.000271 0.000327 1977819930506 123456789
5500 4 1 218.158347 0.000099 0.000460 0.000559 1977819930506 123456789
6000 2 1 394.789176 0.000058 0.000262 0.000320 -6828338004005 123456789
6000 4 1 264.439554 0.000099 0.000439 0.000538 -6828338004005 123456789
8000 2 1 841.905441 0.000057 0.000270 0.000327 4274878840897 123456789
