N procesos trial wall_s user_s kernel_s cpu_total_s checksum seed
400 8 1 0.032379 0.000285 0.001444 0.001729 828679322912 123456789
400 16 1 0.020088 0.000528 0.001955 0.002483 828679322912 123456789
600 8 1 0.083756 0.000255 0.001147 0.001402 146500783793 123456789
600 16 1 0.066082 0.000583 0.002449 0.003032 146500783793 123456789
800 8 1 0.214974 0.000304 0.001462 0.001766 558985527324 123456789
800 16 1 0.164745 0.000680 0.003232 0.003912 558985527324 123456789
1000 8 1 0.411236 0.000289 0.001477 0.001766 -203584809775 123456789
1000 16 1 0.356769 0.000548 0.002705 0.003253 -203584809775 123456789
2000 8 1 2.486384 0.000231 0.001122 0.001353 -1067493743601 123456789
2000 16 1 2.199122 0.000562 0.002676 0.003238 -1067493743601 123456789
4000 8 1 49.602433 0.000177 0.000843 0.001020 -4380136852933 123456789
4000 16 1 45.412209 0.000567 0.002860 0.003427 -4380136852933 123456789
5500 8 1 142.828896 0.000212 0.001111 0.001323 1977819930506 123456789
5500 16 1 153.538525 0.000637 0.002893 0.003530 1977819930506 123456789
6000 8 1 191.024567 0.000250 0.001142 0.001392 -6828338004005 123456789
6000 16 1 192.522034 0.000582 0.002697 0.003279 -6828338004005 123456789
8000 8 1 521.472366 0.000223 0.001101 0.001324 4274878840897 123456789
8000 16 1 496.610840 0.000545 0.002644 0.003189 4274878840897 123456789
400 8 1 0.015627 0.000218 0.000918 0.001136 828679322912 123456789
400 16 1 0.016049 0.000437 0.001724 0.002161 828679322912 123456789
600 8 1 0.058689 0.000244 0.001013 0.001257 146500783793 123456789
600 16 1 0.063832 0.000612 0.002190 0.002802 146500783793 123456789
800 8 1 0.183281 0.000304 0.001198 0.001502 558985527324 123456789
800 16 1 0.165519 0.000635 0.002735 0.003370 558985527324 123456789
1000 8 1 0.425172 0.000361 0.001390 0.001751 -203584809775 123456789
1000 16 1 0.370017 0.000750 0.002864 0.003614 -203584809775 123456789
2000 8 1 3.741664 0.000348 0.001380 0.001728 -1067493743601 123456789
2000 16 1 3.297872 0.000896 0.003960 0.004856 -1067493743601 123456789
4000 8 1 62.915115 0.000257 0.001307 0.001564 -4380136852933 123456789
4000 16 1 56.712705 0.000580 0.003046 0.003626 -4380136852933 123456789
5500 8 1 168.905226 0.000251 0.001194 0.001445 1977819930506 123456789
5500 16 1 164.982313 0.000503 0.002649 0.003152 1977819930506 123456789
6000 8 1 215.138494 0.000211 0.001049 0.001260 -6828338004005 123456789
6000 16 1 204.615113 0.000519 0.002503 0.003022 -6828338004005 123456789
8000 8 1 481.881501 0.000261 0.001306 0.001567 4274878840897 123456789
8000 16 1 486.431122 0.000540 0.002344 0.002884 4274878840897 123456789
400 8 1 0.016444 0.000228 0.000958 0.001186 828679322912 123456789
400 16 1 0.016740 0.000465 0.001798 0.002263 828679322912 123456789
600 8 1 0.057614 0.000243 0.000970 0.001213 146500783793 123456789
600 16 1 0.061872 0.000611 0.002241 0.002852 146500783793 123456789
800 8 1 0.191886 0.000305 0.001218 0.001523 558985527324 123456789
800 16 1 0.159449 0.000666 0.002663 0.003329 558985527324 123456789
1000 8 1 0.362183 0.000343 0.001291 0.001634 -203584809775 123456789
1000 16 1 0.319400 0.000634 0.002710 0.003344 -203584809775 123456789
2000 8 1 3.375896 0.000353 0.001357 0.001710 -1067493743601 123456789
2000 16 1 3.073529 0.000742 0.003583 0.004325 -1067493743601 123456789
4000 8 1 57.615582 0.000236 0.001145 0.001381 -4380136852933 123456789
