Graph	 Category	Persistent Bytes	# Persistent	# Transient	Total Bytes	# Total	Persistent/Total Bytes
0	All Heap & Anonymous VM	117,48 KiB	983	3	286,24 MiB	986	Ratio: %0.00, %1.00
0	All Heap Allocations	117,48 KiB	983	3	286,24 MiB	986	Ratio: %0.00, %1.00
0	Malloc 896 Bytes	896 Bytes	1	0	896 Bytes	1	Ratio: %0.00, %0.00
0	Malloc 640 Bytes	2,50 KiB	4	0	2,50 KiB	4	Ratio: %0.00, %0.00
0	Malloc 512 Bytes	1,50 KiB	3	0	1,50 KiB	3	Ratio: %0.00, %0.00
0	Malloc 448 Bytes	896 Bytes	2	0	896 Bytes	2	Ratio: %0.00, %0.00
0	Malloc 384 Bytes	1,12 KiB	3	0	1,12 KiB	3	Ratio: %0.00, %0.00
0	Malloc 320 Bytes	640 Bytes	2	0	640 Bytes	2	Ratio: %0.00, %0.00
0	Malloc 256 Bytes	1,00 KiB	4	0	1,00 KiB	4	Ratio: %0.00, %0.00
0	Malloc 192 Bytes	3,00 KiB	16	0	3,00 KiB	16	Ratio: %0.00, %0.00
0	Malloc 160 Bytes	9,06 KiB	58	0	9,06 KiB	58	Ratio: %0.00, %0.00
0	Malloc 128 Bytes	12,12 KiB	97	0	12,12 KiB	97	Ratio: %0.00, %0.00
0	Malloc 112 Bytes	4,92 KiB	45	0	4,92 KiB	45	Ratio: %0.00, %0.00
0	Malloc 96 Bytes	1,78 KiB	19	0	1,78 KiB	19	Ratio: %0.00, %0.00
0	Malloc 80 Bytes	4,69 KiB	60	0	4,69 KiB	60	Ratio: %0.00, %0.00
0	Malloc 64 Bytes	4,12 KiB	66	0	4,12 KiB	66	Ratio: %0.00, %0.00
0	Malloc 48 Bytes	6,33 KiB	135	0	6,33 KiB	135	Ratio: %0.00, %0.00
0	Malloc 32 Bytes	14,06 KiB	450	0	14,06 KiB	450	Ratio: %0.00, %0.00
0	Malloc 16 Bytes	144 Bytes	9	0	144 Bytes	9	Ratio: %0.00, %0.00
0	Malloc 95,38 MiB	0 Bytes	0	3	286,12 MiB	3	Ratio: %0.00, %1.00
0	Malloc 4,00 KiB	8,00 KiB	2	0	8,00 KiB	2	Ratio: %0.00, %0.00
0	Malloc 16,00 KiB	32,00 KiB	2	0	32,00 KiB	2	Ratio: %0.00, %0.00
0	Malloc 1,50 KiB	1,50 KiB	1	0	1,50 KiB	1	Ratio: %0.00, %0.00
0	Malloc 1,25 KiB	1,25 KiB	1	0	1,25 KiB	1	Ratio: %0.00, %0.00
0	Malloc 1,00 KiB	2,00 KiB	2	0	2,00 KiB	2	Ratio: %0.00, %0.00
0	@autoreleasepool content	4,00 KiB	1	0	4,00 KiB	1	Ratio: %0.00, %0.00
