variante,funcion,cpu_acumulado_s,self_cpu_s,porcentaje_cpu_total,apariciones_en_arbol
Secuencial,matmul,73.800000,73.800000,100.000000,1
Secuencial,fill_random_matrices,0.280000,0.015000,0.379404,1
Secuencial,rand_i32,0.260000,0.056000,0.352304,2
Secuencial,zero_matrix,0.015000,0.015000,0.020325,1
Secuencial,checksum_matrix,0.006000,0.006000,0.008130,1
O3,matmul,30.620000,30.620000,99.029754,2
O3,process_cpu_seconds,15.640000,0.000000,50.582147,1
O3,zero_matrix,14.980000,0.000000,48.447607,1
O3,fill_random_matrices,0.164000,0.016000,0.530401,2
O3,rand_i32,0.148000,0.029000,0.478655,2
O3,checksum_matrix,0.001000,0.001000,0.003234,1
O3,wall_seconds_now,0.001000,0.000000,0.003234,1
Transpuesta/cache,matmul,47.290000,47.290000,99.348739,1
Transpuesta/cache,fill_random_matrices,0.274000,0.013000,0.575630,1
Transpuesta/cache,rand_i32,0.106000,0.052000,0.222689,2
Transpuesta/cache,zero_matrix,0.016000,0.016000,0.033613,1
Transpuesta/cache,checksum_matrix,0.006000,0.006000,0.012605,1
