Prueba,400,600,800,1000,2000,4000,5500,6000,8000
Transpuesta,1.197069,1.202213,1.191171,1.243890,1.409606,4.607136,4.110830,3.888943,3.370751
O3,5.205269,5.522916,4.864275,4.432802,2.701035,1.778007,1.800216,1.769532,1.608453
Hilos 2,1.338665,1.234691,1.291877,1.357105,1.339544,1.709017,1.693954,1.672137,1.623154
Hilos 4,2.478587,2.091907,2.045451,1.923091,2.010925,2.634226,2.567923,2.529744,2.452787
Hilos 8,3.225238,2.984376,2.673965,2.686422,2.821806,4.114557,3.615767,3.598479,3.025192
Hilos 16,3.306066,3.073100,2.977180,3.009254,3.150149,4.178989,3.460995,3.545289,3.059046
Hilos OpenMP 2,1.139811,1.100219,1.093541,1.112850,1.147721,1.538918,1.541401,1.490508,1.441687
Hilos OpenMP 4,2.186517,1.869039,1.734685,1.726166,1.819343,2.362727,2.281477,2.253006,2.175599
Hilos OpenMP 8,2.898735,2.667932,2.417793,2.386741,2.540958,3.614385,3.057086,3.123753,2.717413
Hilos OpenMP 16,3.121599,3.009016,2.709089,2.786293,2.996835,4.095093,3.339364,3.476208,3.011286
