N threads trial wall_s user_s kernel_s cpu_total_s checksum seed
400 1 1 0.012594 0.012576 0.000015 0.012591 267932961020 1
600 1 1 0.039886 0.039816 0.000067 0.039883 1062502679049 1
800 1 1 0.106260 0.106198 0.000059 0.106257 -1313653243708 1
1000 1 1 0.234694 0.234018 0.000664 0.234682 619364507276 1
2000 1 1 3.746590 3.736786 0.009710 3.746496 3103061925690 1
4000 1 1 140.553478 140.384440 0.163950 140.548390 -399962204859 1
5500 1 1 319.303882 319.216333 0.075895 319.292228 -5360428906760 1
6000 1 1 400.820362 400.709844 0.095061 400.804905 -13443911731759 1
8000 1 1 915.098062 912.932939 1.272668 914.205607 4743698883744 1
400 1 1 0.012557 0.012541 0.000014 0.012555 267932961020 1
600 1 1 0.039890 0.039858 0.000032 0.039890 1062502679049 1
800 1 1 0.106209 0.106027 0.000179 0.106206 -1313653243708 1
1000 1 1 0.252553 0.251817 0.000713 0.252530 619364507276 1
2000 1 1 3.806478 3.800010 0.006368 3.806378 3103061925690 1
4000 1 1 140.500648 140.312716 0.183479 140.496195 -399962204859 1
5500 1 1 320.031975 319.573442 0.398744 319.972186 -5360428906760 1
6000 1 1 401.007863 400.476412 0.518175 400.994587 -13443911731759 1
8000 1 1 912.310369 911.070167 1.207875 912.278042 4743698883744 1
400 1 1 0.012556 0.012514 0.000040 0.012554 267932961020 1
600 1 1 0.039851 0.039796 0.000049 0.039845 1062502679049 1
800 1 1 0.119580 0.119331 0.000233 0.119564 -1313653243708 1
1000 1 1 0.246674 0.245891 0.000756 0.246647 619364507276 1
2000 1 1 3.771444 3.766252 0.004921 3.771173 3103061925690 1
4000 1 1 140.510731 140.331009 0.174826 140.505835 -399962204859 1
5500 1 1 321.907408 320.801561 0.509208 321.310769 -5360428906760 1
6000 1 1 400.547018 400.097442 0.432568 400.530010 -13443911731759 1
8000 1 1 911.683224 910.594544 1.042490 911.637034 4743698883744 1
400 1 1 0.012525 0.012507 0.000014 0.012521 267932961020 1
600 1 1 0.039914 0.039877 0.000034 0.039911 1062502679049 1
800 1 1 0.106253 0.105981 0.000267 0.106248 -1313653243708 1
1000 1 1 0.232765 0.232577 0.000185 0.232762 619364507276 1
2000 1 1 3.454156 3.450502 0.003520 3.454022 3103061925690 1
4000 1 1 140.624453 140.469060 0.149905 140.618965 -399962204859 1
5500 1 1 320.186701 319.834010 0.338448 320.172458 -5360428906760 1
6000 1 1 400.725817 400.285328 0.424262 400.709590 -13443911731759 1
8000 1 1 911.866225 910.798129 1.025279 911.823408 4743698883744 1
400 1 1 0.012547 0.012527 0.000019 0.012546 267932961020 1
600 1 1 0.039970 0.039884 0.000085 0.039969 1062502679049 1
800 1 1 0.106078 0.105915 0.000160 0.106075 -1313653243708 1
1000 1 1 0.241286 0.240754 0.000528 0.241282 619364507276 1
2000 1 1 3.417405 3.413437 0.003849 3.417286 3103061925690 1
4000 1 1 140.556982 140.398917 0.152713 140.551630 -399962204859 1
5500 1 1 320.015387 319.647681 0.353032 320.000713 -5360428906760 1
6000 1 1 400.715922 400.262326 0.424361 400.686687 -13443911731759 1
8000 1 1 911.701627 910.636234 1.024663 911.660897 4743698883744 1
400 1 1 0.012508 0.012500 0.000005 0.012505 267932961020 1
600 1 1 0.039862 0.039834 0.000026 0.039860 1062502679049 1
800 1 1 0.106169 0.106010 0.000155 0.106165 -1313653243708 1
1000 1 1 0.233840 0.233743 0.000078 0.233821 619364507276 1
2000 1 1 3.490548 3.486549 0.003887 3.490436 3103061925690 1
4000 1 1 140.578238 140.420197 0.151068 140.571265 -399962204859 1
5500 1 1 320.177529 319.815645 0.348777 320.164422 -5360428906760 1
6000 1 1 400.557095 400.103726 0.431799 400.535525 -13443911731759 1
8000 1 1 911.636199 910.564676 1.030481 911.595157 4743698883744 1
400 1 1 0.012596 0.012582 0.000011 0.012593 267932961020 1
