implementation,n,nsweeps,workers,iteration,time_s
threads,10000,15000,2,1,0.202987
threads,100000,15000,2,1,1.624238
threads,1000000,15000,2,1,16.173606
threads,2000000,15000,2,1,32.315276
threads,4000000,15000,2,1,65.579988
threads,5000000,15000,2,1,81.446912
threads,10000,15000,2,2,0.203048
threads,100000,15000,2,2,1.648335
threads,1000000,15000,2,2,16.367761
threads,2000000,15000,2,2,32.583732
threads,4000000,15000,2,2,64.867037
threads,5000000,15000,2,2,81.713622
threads,10000,15000,2,3,0.207431
threads,100000,15000,2,3,1.679609
threads,1000000,15000,2,3,16.276139
threads,2000000,15000,2,3,32.172569
threads,4000000,15000,2,3,66.131306
threads,5000000,15000,2,3,82.031900
threads,10000,15000,2,4,0.203796
threads,100000,15000,2,4,1.680149
threads,1000000,15000,2,4,16.209122
threads,2000000,15000,2,4,32.663441
threads,4000000,15000,2,4,66.190168
threads,5000000,15000,2,4,81.762404
threads,10000,15000,2,5,0.208770
threads,100000,15000,2,5,1.665290
threads,1000000,15000,2,5,16.318493
threads,2000000,15000,2,5,32.707042
threads,4000000,15000,2,5,66.878715
threads,5000000,15000,2,5,82.730729
threads,10000,15000,2,6,0.205368
threads,100000,15000,2,6,1.674157
threads,1000000,15000,2,6,16.563393
threads,2000000,15000,2,6,32.091513
threads,4000000,15000,2,6,67.307585
threads,5000000,15000,2,6,81.647574
threads,10000,15000,2,7,0.203279
threads,100000,15000,2,7,1.662426
threads,1000000,15000,2,7,16.466164
threads,2000000,15000,2,7,32.225448
threads,4000000,15000,2,7,66.398713
threads,5000000,15000,2,7,81.229642
threads,10000,15000,2,8,0.203748
threads,100000,15000,2,8,1.647630
threads,1000000,15000,2,8,16.265960
threads,2000000,15000,2,8,31.941932
threads,4000000,15000,2,8,64.606790
threads,5000000,15000,2,8,82.833447
threads,10000,15000,2,9,0.204819
threads,100000,15000,2,9,1.654993
threads,1000000,15000,2,9,16.268254
threads,2000000,15000,2,9,31.956157
threads,4000000,15000,2,9,64.697779
threads,5000000,15000,2,9,82.042959
threads,10000,15000,2,10,0.206458
threads,100000,15000,2,10,1.670415
threads,1000000,15000,2,10,16.415007
threads,2000000,15000,2,10,32.037367
threads,4000000,15000,2,10,66.813598
threads,5000000,15000,2,10,83.818456
threads,10000,15000,4,1,0.147758
threads,100000,15000,4,1,0.885770
threads,1000000,15000,4,1,8.728712
threads,2000000,15000,4,1,31.536933
threads,4000000,15000,4,1,65.981606
threads,5000000,15000,4,1,82.482090
threads,10000,15000,4,2,0.135991
threads,100000,15000,4,2,0.900985
threads,1000000,15000,4,2,8.593898
threads,2000000,15000,4,2,31.198528
threads,4000000,15000,4,2,66.203938
threads,5000000,15000,4,2,82.281544
threads,10000,15000,4,3,0.140729
threads,100000,15000,4,3,0.918954
threads,1000000,15000,4,3,8.827988
threads,2000000,15000,4,3,31.731129
threads,4000000,15000,4,3,65.810609
threads,5000000,15000,4,3,82.606838
threads,10000,15000,4,4,0.139678
threads,100000,15000,4,4,0.889530
threads,1000000,15000,4,4,8.755017
threads,2000000,15000,4,4,29.428250
threads,4000000,15000,4,4,65.318889
threads,5000000,15000,4,4,82.441654
threads,10000,15000,4,5,0.138395
threads,100000,15000,4,5,0.894340
threads,1000000,15000,4,5,8.581854
threads,2000000,15000,4,5,30.774397
threads,4000000,15000,4,5,65.719808
