implementation,n,nsweeps,workers,iteration,time_s
processes,10000,15000,2,1,0.236606
processes,100000,15000,2,1,1.491646
processes,1000000,15000,2,1,13.609090
processes,2000000,15000,2,1,28.768251
processes,4000000,15000,2,1,61.516607
processes,5000000,15000,2,1,81.173075
processes,10000,15000,2,2,0.236037
processes,100000,15000,2,2,1.478621
processes,1000000,15000,2,2,13.406446
processes,2000000,15000,2,2,28.420110
processes,4000000,15000,2,2,64.554146
processes,5000000,15000,2,2,82.204237
processes,10000,15000,2,3,0.245254
processes,100000,15000,2,3,1.443207
processes,1000000,15000,2,3,13.384302
processes,2000000,15000,2,3,27.351627
processes,4000000,15000,2,3,65.532914
processes,5000000,15000,2,3,79.669181
processes,10000,15000,2,4,0.232703
processes,100000,15000,2,4,1.474302
processes,1000000,15000,2,4,13.418099
processes,2000000,15000,2,4,28.163624
processes,4000000,15000,2,4,65.330968
processes,5000000,15000,2,4,79.286747
processes,10000,15000,2,5,0.237111
processes,100000,15000,2,5,1.456243
processes,1000000,15000,2,5,13.537066
processes,2000000,15000,2,5,27.508782
processes,4000000,15000,2,5,65.137642
processes,5000000,15000,2,5,82.047829
processes,10000,15000,2,6,0.234959
processes,100000,15000,2,6,1.459113
processes,1000000,15000,2,6,13.441446
processes,2000000,15000,2,6,28.934594
processes,4000000,15000,2,6,61.382938
processes,5000000,15000,2,6,79.793436
processes,10000,15000,2,7,0.231450
processes,100000,15000,2,7,1.504551
processes,1000000,15000,2,7,13.525465
processes,2000000,15000,2,7,27.868639
processes,4000000,15000,2,7,64.461761
processes,5000000,15000,2,7,78.668904
processes,10000,15000,2,8,0.231117
processes,100000,15000,2,8,1.459784
processes,1000000,15000,2,8,13.632172
processes,2000000,15000,2,8,27.405927
processes,4000000,15000,2,8,63.662951
processes,5000000,15000,2,8,80.197565
processes,10000,15000,2,9,0.235944
processes,100000,15000,2,9,1.477767
processes,1000000,15000,2,9,13.403944
processes,2000000,15000,2,9,27.254057
processes,4000000,15000,2,9,63.789549
processes,5000000,15000,2,9,80.273443
processes,10000,15000,2,10,0.232030
processes,100000,15000,2,10,1.445476
processes,1000000,15000,2,10,13.498609
processes,2000000,15000,2,10,28.368922
processes,4000000,15000,2,10,65.712011
processes,5000000,15000,2,10,80.182998
processes,10000,15000,4,1,0.181688
processes,100000,15000,4,1,0.815403
processes,1000000,15000,4,1,7.195693
processes,2000000,15000,4,1,30.279777
processes,4000000,15000,4,1,67.457057
processes,5000000,15000,4,1,82.686631
processes,10000,15000,4,2,0.176454
processes,100000,15000,4,2,0.826817
processes,1000000,15000,4,2,7.098464
processes,2000000,15000,4,2,30.465512
processes,4000000,15000,4,2,64.852951
processes,5000000,15000,4,2,82.722685
processes,10000,15000,4,3,0.189802
processes,100000,15000,4,3,0.821657
processes,1000000,15000,4,3,7.102067
processes,2000000,15000,4,3,29.361705
processes,4000000,15000,4,3,65.675650
processes,5000000,15000,4,3,82.855753
processes,10000,15000,4,4,0.188419
processes,100000,15000,4,4,0.813077
processes,1000000,15000,4,4,7.133700
processes,2000000,15000,4,4,29.186424
processes,4000000,15000,4,4,64.534500
processes,5000000,15000,4,4,82.837656
processes,10000,15000,4,5,0.175792
processes,100000,15000,4,5,0.824819
processes,1000000,15000,4,5,7.106703
processes,2000000,15000,4,5,30.067058
processes,4000000,15000,4,5,67.638893
processes,5000000,15000,4,5,82.638759
processes,10000,15000,4,6,0.189618
processes,100000,15000,4,6,0.822546
processes,1000000,15000,4,6,7.128252
processes,2000000,15000,4,6,29.579394
processes,4000000,15000,4,6,65.098087
processes,5000000,15000,4,6,84.453545
processes,10000,15000,4,7,0.181603
processes,100000,15000,4,7,0.838184
processes,1000000,15000,4,7,7.154497
processes,2000000,15000,4,7,29.379686
processes,4000000,15000,4,7,64.913468
processes,5000000,15000,4,7,84.652041
processes,10000,15000,4,8,0.175653
processes,100000,15000,4,8,0.806614
processes,1000000,15000,4,8,7.171974
processes,2000000,15000,4,8,29.924534
processes,4000000,15000,4,8,64.039111
processes,5000000,15000,4,8,84.789522
processes,10000,15000,4,9,0.187139
processes,100000,15000,4,9,0.831328
processes,1000000,15000,4,9,7.168683
processes,2000000,15000,4,9,30.385067
processes,4000000,15000,4,9,65.998566
processes,5000000,15000,4,9,84.632604
processes,10000,15000,4,10,0.194237
processes,100000,15000,4,10,0.814560
processes,1000000,15000,4,10,7.386930
processes,2000000,15000,4,10,30.270601
processes,4000000,15000,4,10,64.795958
processes,5000000,15000,4,10,82.820759
processes,10000,15000,8,1,0.207823
processes,100000,15000,8,1,0.602687
processes,1000000,15000,8,1,4.427600
processes,2000000,15000,8,1,31.657050
processes,4000000,15000,8,1,69.965474
processes,5000000,15000,8,1,87.611340
processes,10000,15000,8,2,0.190714
processes,100000,15000,8,2,0.612032
processes,1000000,15000,8,2,4.549895
processes,2000000,15000,8,2,31.912849
processes,4000000,15000,8,2,70.226392
processes,5000000,15000,8,2,87.784880
processes,10000,15000,8,3,0.187518
processes,100000,15000,8,3,0.643864
processes,1000000,15000,8,3,4.324543
processes,2000000,15000,8,3,31.754120
processes,4000000,15000,8,3,70.035837
processes,5000000,15000,8,3,87.720752
processes,10000,15000,8,4,0.186035
processes,100000,15000,8,4,0.663924
processes,1000000,15000,8,4,4.509125
processes,2000000,15000,8,4,31.888756
processes,4000000,15000,8,4,70.052129
processes,5000000,15000,8,4,87.688657
processes,10000,15000,8,5,0.189576
processes,100000,15000,8,5,0.611487
processes,1000000,15000,8,5,4.515752
processes,2000000,15000,8,5,31.837347
processes,4000000,15000,8,5,69.859324
processes,5000000,15000,8,5,87.600353
processes,10000,15000,8,6,0.210854
processes,100000,15000,8,6,0.646450
processes,1000000,15000,8,6,4.574631
processes,2000000,15000,8,6,31.756031
processes,4000000,15000,8,6,70.013900
processes,5000000,15000,8,6,87.608983
processes,10000,15000,8,7,0.210473
processes,100000,15000,8,7,0.669039
processes,1000000,15000,8,7,4.503221
processes,2000000,15000,8,7,31.905581
processes,4000000,15000,8,7,70.066348
processes,5000000,15000,8,7,87.690624
processes,10000,15000,8,8,0.206118
processes,100000,15000,8,8,0.671815
processes,1000000,15000,8,8,4.497815
processes,2000000,15000,8,8,31.681066
processes,4000000,15000,8,8,69.888589
processes,5000000,15000,8,8,87.786026
processes,10000,15000,8,9,0.208981
processes,100000,15000,8,9,0.675714
processes,1000000,15000,8,9,4.425911
processes,2000000,15000,8,9,31.863522
processes,4000000,15000,8,9,69.766908
processes,5000000,15000,8,9,87.689480
processes,10000,15000,8,10,0.183984
processes,100000,15000,8,10,0.638374
processes,1000000,15000,8,10,4.397846
processes,2000000,15000,8,10,31.628781
processes,4000000,15000,8,10,69.869936
processes,5000000,15000,8,10,87.508805
processes,10000,15000,16,1,0.302877
processes,100000,15000,16,1,0.620894
processes,1000000,15000,16,1,4.698979
processes,2000000,15000,16,1,33.913662
processes,4000000,15000,16,1,72.316320
processes,5000000,15000,16,1,90.344201
processes,10000,15000,16,2,0.272217
processes,100000,15000,16,2,0.617959
processes,1000000,15000,16,2,4.618443
processes,2000000,15000,16,2,33.904548
processes,4000000,15000,16,2,72.211074
processes,5000000,15000,16,2,90.219437
processes,10000,15000,16,3,0.280384
processes,100000,15000,16,3,0.620115
processes,1000000,15000,16,3,4.610518
processes,2000000,15000,16,3,33.803902
processes,4000000,15000,16,3,72.351214
processes,5000000,15000,16,3,90.430861
processes,10000,15000,16,4,0.286446
processes,100000,15000,16,4,0.616352
processes,1000000,15000,16,4,4.667197
processes,2000000,15000,16,4,33.694264
processes,4000000,15000,16,4,72.278734
processes,5000000,15000,16,4,90.326095
processes,10000,15000,16,5,0.272709
processes,100000,15000,16,5,0.620458
processes,1000000,15000,16,5,4.715145
processes,2000000,15000,16,5,33.663887
processes,4000000,15000,16,5,72.258582
processes,5000000,15000,16,5,90.362446
processes,10000,15000,16,6,0.290856
processes,100000,15000,16,6,0.622822
processes,1000000,15000,16,6,4.688897
processes,2000000,15000,16,6,33.801038
processes,4000000,15000,16,6,72.265051
processes,5000000,15000,16,6,90.436828
processes,10000,15000,16,7,0.289844
processes,100000,15000,16,7,0.617359
processes,1000000,15000,16,7,4.642663
processes,2000000,15000,16,7,33.800320
processes,4000000,15000,16,7,72.438901
processes,5000000,15000,16,7,90.569923
processes,10000,15000,16,8,0.292002
processes,100000,15000,16,8,0.622498
processes,1000000,15000,16,8,4.616135
processes,2000000,15000,16,8,33.834043
processes,4000000,15000,16,8,72.311739
processes,5000000,15000,16,8,90.424191
processes,10000,15000,16,9,0.290401
processes,100000,15000,16,9,0.618468
processes,1000000,15000,16,9,4.654982
processes,2000000,15000,16,9,33.862750
processes,4000000,15000,16,9,72.289408
processes,5000000,15000,16,9,90.561165
processes,10000,15000,16,10,0.277350
processes,100000,15000,16,10,0.622609
processes,1000000,15000,16,10,4.656782
processes,2000000,15000,16,10,33.731273
processes,4000000,15000,16,10,72.753137
processes,5000000,15000,16,10,90.711155
