implementation,n,nsweeps,workers,iteration,time_s
seq,10000,15000,1,1,0.309834
seq,100000,15000,1,1,3.086464
seq,1000000,15000,1,1,30.868748
seq,2000000,15000,1,1,61.228624
seq,4000000,15000,1,1,124.658442
seq,5000000,15000,1,1,154.787031
seq,10000,15000,1,2,0.299306
seq,100000,15000,1,2,3.069989
seq,1000000,15000,1,2,30.787739
seq,2000000,15000,1,2,61.249789
seq,4000000,15000,1,2,124.000624
seq,5000000,15000,1,2,154.236739
seq,10000,15000,1,3,0.304839
seq,100000,15000,1,3,3.057023
seq,1000000,15000,1,3,30.918903
seq,2000000,15000,1,3,60.959744
seq,4000000,15000,1,3,124.823730
seq,5000000,15000,1,3,153.521481
seq,10000,15000,1,4,0.317592
seq,100000,15000,1,4,3.035393
seq,1000000,15000,1,4,30.819133
seq,2000000,15000,1,4,60.900027
seq,4000000,15000,1,4,125.325710
seq,5000000,15000,1,4,153.791663
seq,10000,15000,1,5,0.301628
seq,100000,15000,1,5,3.043307
seq,1000000,15000,1,5,30.796685
seq,2000000,15000,1,5,61.245095
seq,4000000,15000,1,5,122.214819
seq,5000000,15000,1,5,154.012741
seq,10000,15000,1,6,0.299605
seq,100000,15000,1,6,3.057249
seq,1000000,15000,1,6,30.929281
seq,2000000,15000,1,6,60.717480
seq,4000000,15000,1,6,122.515369
seq,5000000,15000,1,6,153.900357
seq,10000,15000,1,7,0.299868
seq,100000,15000,1,7,3.049849
seq,1000000,15000,1,7,30.761257
seq,2000000,15000,1,7,60.881851
seq,4000000,15000,1,7,124.962713
seq,5000000,15000,1,7,153.328858
seq,10000,15000,1,8,0.300288
seq,100000,15000,1,8,3.145133
seq,1000000,15000,1,8,30.818004
seq,2000000,15000,1,8,60.994843
seq,4000000,15000,1,8,122.821500
seq,5000000,15000,1,8,154.074886
seq,10000,15000,1,9,0.306975
seq,100000,15000,1,9,3.091708
seq,1000000,15000,1,9,31.120691
seq,2000000,15000,1,9,61.291828
seq,4000000,15000,1,9,122.131368
seq,5000000,15000,1,9,154.032667
seq,10000,15000,1,10,0.302275
seq,100000,15000,1,10,3.085394
seq,1000000,15000,1,10,30.677108
seq,2000000,15000,1,10,60.575845
seq,4000000,15000,1,10,124.888004
seq,5000000,15000,1,10,153.613867
