implementation,n,nsweeps,workers,iteration,time_s
seq_mem,10000,15000,1,1,0.212463
seq_mem,100000,15000,1,1,2.505053
seq_mem,1000000,15000,1,1,25.185945
seq_mem,2000000,15000,1,1,49.785506
seq_mem,4000000,15000,1,1,100.292304
seq_mem,5000000,15000,1,1,126.801091
seq_mem,10000,15000,1,2,0.226587
seq_mem,100000,15000,1,2,2.520593
seq_mem,1000000,15000,1,2,25.390024
seq_mem,2000000,15000,1,2,49.964126
seq_mem,4000000,15000,1,2,100.569378
seq_mem,5000000,15000,1,2,126.494973
seq_mem,10000,15000,1,3,0.223533
seq_mem,100000,15000,1,3,2.478170
seq_mem,1000000,15000,1,3,25.252711
seq_mem,2000000,15000,1,3,49.929342
seq_mem,4000000,15000,1,3,98.840036
seq_mem,5000000,15000,1,3,126.844478
seq_mem,10000,15000,1,4,0.232256
seq_mem,100000,15000,1,4,2.469098
seq_mem,1000000,15000,1,4,25.285411
seq_mem,2000000,15000,1,4,49.881267
seq_mem,4000000,15000,1,4,98.640760
seq_mem,5000000,15000,1,4,126.217409
seq_mem,10000,15000,1,5,0.225170
seq_mem,100000,15000,1,5,2.454144
seq_mem,1000000,15000,1,5,25.232126
seq_mem,2000000,15000,1,5,49.764138
seq_mem,4000000,15000,1,5,100.055112
seq_mem,5000000,15000,1,5,125.207934
seq_mem,10000,15000,1,6,0.226853
seq_mem,100000,15000,1,6,2.484452
seq_mem,1000000,15000,1,6,25.487979
seq_mem,2000000,15000,1,6,49.944781
seq_mem,4000000,15000,1,6,98.247688
seq_mem,5000000,15000,1,6,125.735088
seq_mem,10000,15000,1,7,0.213790
seq_mem,100000,15000,1,7,2.521350
seq_mem,1000000,15000,1,7,25.253141
seq_mem,2000000,15000,1,7,49.771171
seq_mem,4000000,15000,1,7,100.433850
seq_mem,5000000,15000,1,7,127.081365
seq_mem,10000,15000,1,8,0.239989
seq_mem,100000,15000,1,8,2.492587
seq_mem,1000000,15000,1,8,25.280105
seq_mem,2000000,15000,1,8,49.977156
seq_mem,4000000,15000,1,8,100.193160
seq_mem,5000000,15000,1,8,127.511346
seq_mem,10000,15000,1,9,0.228396
seq_mem,100000,15000,1,9,2.452217
seq_mem,1000000,15000,1,9,25.282347
seq_mem,2000000,15000,1,9,49.955300
seq_mem,4000000,15000,1,9,100.480987
seq_mem,5000000,15000,1,9,125.763419
seq_mem,10000,15000,1,10,0.242988
seq_mem,100000,15000,1,10,2.529532
seq_mem,1000000,15000,1,10,25.340832
seq_mem,2000000,15000,1,10,49.788603
seq_mem,4000000,15000,1,10,100.233104
seq_mem,5000000,15000,1,10,127.222526
