implementation,n,nsweeps,workers,iteration,time_s
seq_o3,10000,15000,1,1,0.032730
seq_o3,100000,15000,1,1,0.373020
seq_o3,1000000,15000,1,1,8.036071
seq_o3,2000000,15000,1,1,22.153953
seq_o3,4000000,15000,1,1,52.508119
seq_o3,5000000,15000,1,1,69.919824
seq_o3,10000,15000,1,2,0.032464
seq_o3,100000,15000,1,2,0.377085
seq_o3,1000000,15000,1,2,8.121533
seq_o3,2000000,15000,1,2,22.201255
seq_o3,4000000,15000,1,2,53.727990
seq_o3,5000000,15000,1,2,68.578308
seq_o3,10000,15000,1,3,0.031474
seq_o3,100000,15000,1,3,0.373010
seq_o3,1000000,15000,1,3,8.061639
seq_o3,2000000,15000,1,3,22.170354
seq_o3,4000000,15000,1,3,52.915148
seq_o3,5000000,15000,1,3,68.513869
seq_o3,10000,15000,1,4,0.032742
seq_o3,100000,15000,1,4,0.375288
seq_o3,1000000,15000,1,4,8.066301
seq_o3,2000000,15000,1,4,22.225650
seq_o3,4000000,15000,1,4,52.789999
seq_o3,5000000,15000,1,4,68.603290
seq_o3,10000,15000,1,5,0.032152
seq_o3,100000,15000,1,5,0.390509
seq_o3,1000000,15000,1,5,8.194450
seq_o3,2000000,15000,1,5,22.288941
seq_o3,4000000,15000,1,5,53.303219
seq_o3,5000000,15000,1,5,71.973948
seq_o3,10000,15000,1,6,0.030989
seq_o3,100000,15000,1,6,0.373395
seq_o3,1000000,15000,1,6,8.055331
seq_o3,2000000,15000,1,6,22.125883
seq_o3,4000000,15000,1,6,53.118350
seq_o3,5000000,15000,1,6,71.514144
seq_o3,10000,15000,1,7,0.031523
seq_o3,100000,15000,1,7,0.373836
seq_o3,1000000,15000,1,7,8.087814
seq_o3,2000000,15000,1,7,22.249445
seq_o3,4000000,15000,1,7,52.631286
seq_o3,5000000,15000,1,7,68.602629
seq_o3,10000,15000,1,8,0.032114
seq_o3,100000,15000,1,8,0.374777
seq_o3,1000000,15000,1,8,8.154918
seq_o3,2000000,15000,1,8,22.186236
seq_o3,4000000,15000,1,8,52.639997
seq_o3,5000000,15000,1,8,73.557102
seq_o3,10000,15000,1,9,0.031644
seq_o3,100000,15000,1,9,0.376977
seq_o3,1000000,15000,1,9,8.107029
seq_o3,2000000,15000,1,9,22.085875
seq_o3,4000000,15000,1,9,53.068357
seq_o3,5000000,15000,1,9,74.722566
seq_o3,10000,15000,1,10,0.032155
seq_o3,100000,15000,1,10,0.375240
seq_o3,1000000,15000,1,10,8.144463
seq_o3,2000000,15000,1,10,22.122130
seq_o3,4000000,15000,1,10,53.448853
seq_o3,5000000,15000,1,10,70.181586
