implementation,n,nsweeps,workers,iteration,time_s
seq,10000,15000,1,1,0.309834
seq,100000,15000,1,1,3.086464
seq,1000000,15000,1,1,30.868748
seq,2000000,15000,1,1,61.228624
seq,4000000,15000,1,1,124.658442
seq,5000000,15000,1,1,154.787031
seq,10000,15000,1,2,0.299306
seq,100000,15000,1,2,3.069989
seq,1000000,15000,1,2,30.787739
seq,2000000,15000,1,2,61.249789
seq,4000000,15000,1,2,124.000624
seq,5000000,15000,1,2,154.236739
seq,10000,15000,1,3,0.304839
seq,100000,15000,1,3,3.057023
seq,1000000,15000,1,3,30.918903
seq,2000000,15000,1,3,60.959744
seq,4000000,15000,1,3,124.823730
seq,5000000,15000,1,3,153.521481
seq,10000,15000,1,4,0.317592
seq,100000,15000,1,4,3.035393
seq,1000000,15000,1,4,30.819133
seq,2000000,15000,1,4,60.900027
seq,4000000,15000,1,4,125.325710
seq,5000000,15000,1,4,153.791663
seq,10000,15000,1,5,0.301628
seq,100000,15000,1,5,3.043307
seq,1000000,15000,1,5,30.796685
seq,2000000,15000,1,5,61.245095
seq,4000000,15000,1,5,122.214819
seq,5000000,15000,1,5,154.012741
seq,10000,15000,1,6,0.299605
seq,100000,15000,1,6,3.057249
seq,1000000,15000,1,6,30.929281
seq,2000000,15000,1,6,60.717480
seq,4000000,15000,1,6,122.515369
seq,5000000,15000,1,6,153.900357
seq,10000,15000,1,7,0.299868
seq,100000,15000,1,7,3.049849
seq,1000000,15000,1,7,30.761257
seq,2000000,15000,1,7,60.881851
seq,4000000,15000,1,7,124.962713
seq,5000000,15000,1,7,153.328858
seq,10000,15000,1,8,0.300288
seq,100000,15000,1,8,3.145133
seq,1000000,15000,1,8,30.818004
seq,2000000,15000,1,8,60.994843
seq,4000000,15000,1,8,122.821500
seq,5000000,15000,1,8,154.074886
seq,10000,15000,1,9,0.306975
seq,100000,15000,1,9,3.091708
seq,1000000,15000,1,9,31.120691
seq,2000000,15000,1,9,61.291828
seq,4000000,15000,1,9,122.131368
seq,5000000,15000,1,9,154.032667
seq,10000,15000,1,10,0.302275
seq,100000,15000,1,10,3.085394
seq,1000000,15000,1,10,30.677108
seq,2000000,15000,1,10,60.575845
seq,4000000,15000,1,10,124.888004
seq,5000000,15000,1,10,153.613867
seq_mem,10000,15000,1,1,0.212463
seq_mem,100000,15000,1,1,2.505053
seq_mem,1000000,15000,1,1,25.185945
seq_mem,2000000,15000,1,1,49.785506
seq_mem,4000000,15000,1,1,100.292304
seq_mem,5000000,15000,1,1,126.801091
seq_mem,10000,15000,1,2,0.226587
seq_mem,100000,15000,1,2,2.520593
seq_mem,1000000,15000,1,2,25.390024
seq_mem,2000000,15000,1,2,49.964126
seq_mem,4000000,15000,1,2,100.569378
seq_mem,5000000,15000,1,2,126.494973
seq_mem,10000,15000,1,3,0.223533
seq_mem,100000,15000,1,3,2.478170
seq_mem,1000000,15000,1,3,25.252711
seq_mem,2000000,15000,1,3,49.929342
seq_mem,4000000,15000,1,3,98.840036
seq_mem,5000000,15000,1,3,126.844478
seq_mem,10000,15000,1,4,0.232256
seq_mem,100000,15000,1,4,2.469098
seq_mem,1000000,15000,1,4,25.285411
seq_mem,2000000,15000,1,4,49.881267
seq_mem,4000000,15000,1,4,98.640760
seq_mem,5000000,15000,1,4,126.217409
seq_mem,10000,15000,1,5,0.225170
seq_mem,100000,15000,1,5,2.454144
seq_mem,1000000,15000,1,5,25.232126
seq_mem,2000000,15000,1,5,49.764138
seq_mem,4000000,15000,1,5,100.055112
seq_mem,5000000,15000,1,5,125.207934
seq_mem,10000,15000,1,6,0.226853
seq_mem,100000,15000,1,6,2.484452
seq_mem,1000000,15000,1,6,25.487979
seq_mem,2000000,15000,1,6,49.944781
seq_mem,4000000,15000,1,6,98.247688
seq_mem,5000000,15000,1,6,125.735088
seq_mem,10000,15000,1,7,0.213790
seq_mem,100000,15000,1,7,2.521350
seq_mem,1000000,15000,1,7,25.253141
seq_mem,2000000,15000,1,7,49.771171
seq_mem,4000000,15000,1,7,100.433850
seq_mem,5000000,15000,1,7,127.081365
seq_mem,10000,15000,1,8,0.239989
seq_mem,100000,15000,1,8,2.492587
seq_mem,1000000,15000,1,8,25.280105
seq_mem,2000000,15000,1,8,49.977156
seq_mem,4000000,15000,1,8,100.193160
seq_mem,5000000,15000,1,8,127.511346
seq_mem,10000,15000,1,9,0.228396
seq_mem,100000,15000,1,9,2.452217
seq_mem,1000000,15000,1,9,25.282347
seq_mem,2000000,15000,1,9,49.955300
seq_mem,4000000,15000,1,9,100.480987
seq_mem,5000000,15000,1,9,125.763419
seq_mem,10000,15000,1,10,0.242988
seq_mem,100000,15000,1,10,2.529532
seq_mem,1000000,15000,1,10,25.340832
seq_mem,2000000,15000,1,10,49.788603
seq_mem,4000000,15000,1,10,100.233104
seq_mem,5000000,15000,1,10,127.222526
seq_o3,10000,15000,1,1,0.032730
seq_o3,100000,15000,1,1,0.373020
seq_o3,1000000,15000,1,1,8.036071
seq_o3,2000000,15000,1,1,22.153953
seq_o3,4000000,15000,1,1,52.508119
seq_o3,5000000,15000,1,1,69.919824
seq_o3,10000,15000,1,2,0.032464
seq_o3,100000,15000,1,2,0.377085
seq_o3,1000000,15000,1,2,8.121533
seq_o3,2000000,15000,1,2,22.201255
seq_o3,4000000,15000,1,2,53.727990
seq_o3,5000000,15000,1,2,68.578308
seq_o3,10000,15000,1,3,0.031474
seq_o3,100000,15000,1,3,0.373010
seq_o3,1000000,15000,1,3,8.061639
seq_o3,2000000,15000,1,3,22.170354
seq_o3,4000000,15000,1,3,52.915148
seq_o3,5000000,15000,1,3,68.513869
seq_o3,10000,15000,1,4,0.032742
seq_o3,100000,15000,1,4,0.375288
seq_o3,1000000,15000,1,4,8.066301
seq_o3,2000000,15000,1,4,22.225650
seq_o3,4000000,15000,1,4,52.789999
seq_o3,5000000,15000,1,4,68.603290
seq_o3,10000,15000,1,5,0.032152
seq_o3,100000,15000,1,5,0.390509
seq_o3,1000000,15000,1,5,8.194450
seq_o3,2000000,15000,1,5,22.288941
seq_o3,4000000,15000,1,5,53.303219
seq_o3,5000000,15000,1,5,71.973948
seq_o3,10000,15000,1,6,0.030989
seq_o3,100000,15000,1,6,0.373395
seq_o3,1000000,15000,1,6,8.055331
seq_o3,2000000,15000,1,6,22.125883
seq_o3,4000000,15000,1,6,53.118350
seq_o3,5000000,15000,1,6,71.514144
seq_o3,10000,15000,1,7,0.031523
seq_o3,100000,15000,1,7,0.373836
seq_o3,1000000,15000,1,7,8.087814
seq_o3,2000000,15000,1,7,22.249445
seq_o3,4000000,15000,1,7,52.631286
seq_o3,5000000,15000,1,7,68.602629
seq_o3,10000,15000,1,8,0.032114
seq_o3,100000,15000,1,8,0.374777
seq_o3,1000000,15000,1,8,8.154918
seq_o3,2000000,15000,1,8,22.186236
seq_o3,4000000,15000,1,8,52.639997
seq_o3,5000000,15000,1,8,73.557102
seq_o3,10000,15000,1,9,0.031644
seq_o3,100000,15000,1,9,0.376977
seq_o3,1000000,15000,1,9,8.107029
seq_o3,2000000,15000,1,9,22.085875
seq_o3,4000000,15000,1,9,53.068357
seq_o3,5000000,15000,1,9,74.722566
seq_o3,10000,15000,1,10,0.032155
seq_o3,100000,15000,1,10,0.375240
seq_o3,1000000,15000,1,10,8.144463
seq_o3,2000000,15000,1,10,22.122130
seq_o3,4000000,15000,1,10,53.448853
seq_o3,5000000,15000,1,10,70.181586
threads,10000,15000,2,1,0.202987
threads,100000,15000,2,1,1.624238
threads,1000000,15000,2,1,16.173606
threads,2000000,15000,2,1,32.315276
threads,4000000,15000,2,1,65.579988
threads,5000000,15000,2,1,81.446912
threads,10000,15000,2,2,0.203048
threads,100000,15000,2,2,1.648335
threads,1000000,15000,2,2,16.367761
threads,2000000,15000,2,2,32.583732
threads,4000000,15000,2,2,64.867037
threads,5000000,15000,2,2,81.713622
threads,10000,15000,2,3,0.207431
threads,100000,15000,2,3,1.679609
threads,1000000,15000,2,3,16.276139
threads,2000000,15000,2,3,32.172569
threads,4000000,15000,2,3,66.131306
threads,5000000,15000,2,3,82.031900
threads,10000,15000,2,4,0.203796
threads,100000,15000,2,4,1.680149
threads,1000000,15000,2,4,16.209122
threads,2000000,15000,2,4,32.663441
threads,4000000,15000,2,4,66.190168
threads,5000000,15000,2,4,81.762404
threads,10000,15000,2,5,0.208770
threads,100000,15000,2,5,1.665290
threads,1000000,15000,2,5,16.318493
threads,2000000,15000,2,5,32.707042
threads,4000000,15000,2,5,66.878715
threads,5000000,15000,2,5,82.730729
threads,10000,15000,2,6,0.205368
threads,100000,15000,2,6,1.674157
threads,1000000,15000,2,6,16.563393
threads,2000000,15000,2,6,32.091513
threads,4000000,15000,2,6,67.307585
threads,5000000,15000,2,6,81.647574
threads,10000,15000,2,7,0.203279
threads,100000,15000,2,7,1.662426
threads,1000000,15000,2,7,16.466164
threads,2000000,15000,2,7,32.225448
threads,4000000,15000,2,7,66.398713
threads,5000000,15000,2,7,81.229642
threads,10000,15000,2,8,0.203748
threads,100000,15000,2,8,1.647630
threads,1000000,15000,2,8,16.265960
threads,2000000,15000,2,8,31.941932
threads,4000000,15000,2,8,64.606790
threads,5000000,15000,2,8,82.833447
threads,10000,15000,2,9,0.204819
threads,100000,15000,2,9,1.654993
threads,1000000,15000,2,9,16.268254
threads,2000000,15000,2,9,31.956157
threads,4000000,15000,2,9,64.697779
threads,5000000,15000,2,9,82.042959
threads,10000,15000,2,10,0.206458
threads,100000,15000,2,10,1.670415
threads,1000000,15000,2,10,16.415007
threads,2000000,15000,2,10,32.037367
threads,4000000,15000,2,10,66.813598
threads,5000000,15000,2,10,83.818456
threads,10000,15000,4,1,0.147758
threads,100000,15000,4,1,0.885770
threads,1000000,15000,4,1,8.728712
threads,2000000,15000,4,1,31.536933
threads,4000000,15000,4,1,65.981606
threads,5000000,15000,4,1,82.482090
threads,10000,15000,4,2,0.135991
threads,100000,15000,4,2,0.900985
threads,1000000,15000,4,2,8.593898
threads,2000000,15000,4,2,31.198528
threads,4000000,15000,4,2,66.203938
threads,5000000,15000,4,2,82.281544
threads,10000,15000,4,3,0.140729
threads,100000,15000,4,3,0.918954
threads,1000000,15000,4,3,8.827988
threads,2000000,15000,4,3,31.731129
threads,4000000,15000,4,3,65.810609
threads,5000000,15000,4,3,82.606838
threads,10000,15000,4,4,0.139678
threads,100000,15000,4,4,0.889530
threads,1000000,15000,4,4,8.755017
threads,2000000,15000,4,4,29.428250
threads,4000000,15000,4,4,65.318889
threads,5000000,15000,4,4,82.441654
threads,10000,15000,4,5,0.138395
threads,100000,15000,4,5,0.894340
threads,1000000,15000,4,5,8.581854
threads,2000000,15000,4,5,30.774397
threads,4000000,15000,4,5,65.719808
threads,5000000,15000,4,5,83.111225
threads,10000,15000,4,6,0.138351
threads,100000,15000,4,6,0.944274
threads,1000000,15000,4,6,8.498081
threads,2000000,15000,4,6,31.491524
threads,4000000,15000,4,6,65.642176
threads,5000000,15000,4,6,82.213218
threads,10000,15000,4,7,0.142857
threads,100000,15000,4,7,0.895152
threads,1000000,15000,4,7,8.532994
threads,2000000,15000,4,7,31.548456
threads,4000000,15000,4,7,64.849677
threads,5000000,15000,4,7,82.396041
threads,10000,15000,4,8,0.136606
threads,100000,15000,4,8,0.914436
threads,1000000,15000,4,8,8.578918
threads,2000000,15000,4,8,30.941542
threads,4000000,15000,4,8,64.351072
threads,5000000,15000,4,8,82.798254
threads,10000,15000,4,9,0.139646
threads,100000,15000,4,9,0.901948
threads,1000000,15000,4,9,8.697018
threads,2000000,15000,4,9,31.136146
threads,4000000,15000,4,9,64.873189
threads,5000000,15000,4,9,82.953311
threads,10000,15000,4,10,0.138595
threads,100000,15000,4,10,0.911818
threads,1000000,15000,4,10,8.707682
threads,2000000,15000,4,10,30.699818
threads,4000000,15000,4,10,66.077399
threads,5000000,15000,4,10,82.439385
threads,10000,15000,8,1,0.126656
threads,100000,15000,8,1,0.568046
threads,1000000,15000,8,1,4.848849
threads,2000000,15000,8,1,31.994736
threads,4000000,15000,8,1,68.404252
threads,5000000,15000,8,1,85.569797
threads,10000,15000,8,2,0.118182
threads,100000,15000,8,2,0.580773
threads,1000000,15000,8,2,5.125671
threads,2000000,15000,8,2,32.036331
threads,4000000,15000,8,2,68.446146
threads,5000000,15000,8,2,85.641886
threads,10000,15000,8,3,0.127827
threads,100000,15000,8,3,0.592418
threads,1000000,15000,8,3,5.035829
threads,2000000,15000,8,3,32.013635
threads,4000000,15000,8,3,68.376084
threads,5000000,15000,8,3,85.684264
threads,10000,15000,8,4,0.114094
threads,100000,15000,8,4,0.563930
threads,1000000,15000,8,4,5.336727
threads,2000000,15000,8,4,32.176367
threads,4000000,15000,8,4,68.342146
threads,5000000,15000,8,4,85.766624
threads,10000,15000,8,5,0.122325
threads,100000,15000,8,5,0.611443
threads,1000000,15000,8,5,5.036778
threads,2000000,15000,8,5,31.953805
threads,4000000,15000,8,5,68.156054
threads,5000000,15000,8,5,85.932859
threads,10000,15000,8,6,0.124963
threads,100000,15000,8,6,0.592703
threads,1000000,15000,8,6,5.061322
threads,2000000,15000,8,6,31.929398
threads,4000000,15000,8,6,68.389411
threads,5000000,15000,8,6,85.402435
threads,10000,15000,8,7,0.132979
threads,100000,15000,8,7,0.589489
threads,1000000,15000,8,7,5.161813
threads,2000000,15000,8,7,31.965752
threads,4000000,15000,8,7,68.242376
threads,5000000,15000,8,7,85.443785
threads,10000,15000,8,8,0.111031
threads,100000,15000,8,8,0.562998
threads,1000000,15000,8,8,5.223850
threads,2000000,15000,8,8,32.068103
threads,4000000,15000,8,8,68.342193
threads,5000000,15000,8,8,85.501817
threads,10000,15000,8,9,0.125586
threads,100000,15000,8,9,0.553091
threads,1000000,15000,8,9,4.987736
threads,2000000,15000,8,9,31.992672
threads,4000000,15000,8,9,68.446992
threads,5000000,15000,8,9,85.616687
threads,10000,15000,8,10,0.114053
threads,100000,15000,8,10,0.568199
threads,1000000,15000,8,10,5.025259
threads,2000000,15000,8,10,31.926452
threads,4000000,15000,8,10,68.403712
threads,5000000,15000,8,10,86.128339
threads,10000,15000,16,1,0.138624
threads,100000,15000,16,1,0.531817
threads,1000000,15000,16,1,4.532668
threads,2000000,15000,16,1,33.699397
threads,4000000,15000,16,1,71.572105
threads,5000000,15000,16,1,89.773604
threads,10000,15000,16,2,0.139655
threads,100000,15000,16,2,0.557783
threads,1000000,15000,16,2,4.550162
threads,2000000,15000,16,2,34.125601
threads,4000000,15000,16,2,71.749289
threads,5000000,15000,16,2,89.232428
threads,10000,15000,16,3,0.141119
threads,100000,15000,16,3,0.543193
threads,1000000,15000,16,3,4.663711
threads,2000000,15000,16,3,34.033347
threads,4000000,15000,16,3,71.868975
threads,5000000,15000,16,3,89.705385
threads,10000,15000,16,4,0.139257
threads,100000,15000,16,4,0.591380
threads,1000000,15000,16,4,4.698628
threads,2000000,15000,16,4,34.420597
threads,4000000,15000,16,4,71.601126
threads,5000000,15000,16,4,89.567982
threads,10000,15000,16,5,0.137470
threads,100000,15000,16,5,0.518853
threads,1000000,15000,16,5,4.535382
threads,2000000,15000,16,5,34.049091
threads,4000000,15000,16,5,71.247575
threads,5000000,15000,16,5,89.445868
threads,10000,15000,16,6,0.138833
threads,100000,15000,16,6,0.556148
threads,1000000,15000,16,6,4.592766
threads,2000000,15000,16,6,33.700982
threads,4000000,15000,16,6,71.726967
threads,5000000,15000,16,6,89.273943
threads,10000,15000,16,7,0.137670
threads,100000,15000,16,7,0.546305
threads,1000000,15000,16,7,4.613334
threads,2000000,15000,16,7,33.856341
threads,4000000,15000,16,7,71.650600
threads,5000000,15000,16,7,89.393936
threads,10000,15000,16,8,0.137479
threads,100000,15000,16,8,0.534724
threads,1000000,15000,16,8,4.553429
threads,2000000,15000,16,8,33.943448
threads,4000000,15000,16,8,71.819424
threads,5000000,15000,16,8,89.657213
threads,10000,15000,16,9,0.137789
threads,100000,15000,16,9,0.556035
threads,1000000,15000,16,9,4.635452
threads,2000000,15000,16,9,34.411470
threads,4000000,15000,16,9,71.376076
threads,5000000,15000,16,9,89.564417
threads,10000,15000,16,10,0.137154
threads,100000,15000,16,10,0.565874
threads,1000000,15000,16,10,4.634432
threads,2000000,15000,16,10,34.278785
threads,4000000,15000,16,10,71.664380
threads,5000000,15000,16,10,89.471451
processes,10000,15000,2,1,0.236606
processes,100000,15000,2,1,1.491646
processes,1000000,15000,2,1,13.609090
processes,2000000,15000,2,1,28.768251
processes,4000000,15000,2,1,61.516607
processes,5000000,15000,2,1,81.173075
processes,10000,15000,2,2,0.236037
processes,100000,15000,2,2,1.478621
processes,1000000,15000,2,2,13.406446
processes,2000000,15000,2,2,28.420110
processes,4000000,15000,2,2,64.554146
processes,5000000,15000,2,2,82.204237
processes,10000,15000,2,3,0.245254
processes,100000,15000,2,3,1.443207
processes,1000000,15000,2,3,13.384302
processes,2000000,15000,2,3,27.351627
processes,4000000,15000,2,3,65.532914
processes,5000000,15000,2,3,79.669181
processes,10000,15000,2,4,0.232703
processes,100000,15000,2,4,1.474302
processes,1000000,15000,2,4,13.418099
processes,2000000,15000,2,4,28.163624
processes,4000000,15000,2,4,65.330968
processes,5000000,15000,2,4,79.286747
processes,10000,15000,2,5,0.237111
processes,100000,15000,2,5,1.456243
processes,1000000,15000,2,5,13.537066
processes,2000000,15000,2,5,27.508782
processes,4000000,15000,2,5,65.137642
processes,5000000,15000,2,5,82.047829
processes,10000,15000,2,6,0.234959
processes,100000,15000,2,6,1.459113
processes,1000000,15000,2,6,13.441446
processes,2000000,15000,2,6,28.934594
processes,4000000,15000,2,6,61.382938
processes,5000000,15000,2,6,79.793436
processes,10000,15000,2,7,0.231450
processes,100000,15000,2,7,1.504551
processes,1000000,15000,2,7,13.525465
processes,2000000,15000,2,7,27.868639
processes,4000000,15000,2,7,64.461761
processes,5000000,15000,2,7,78.668904
processes,10000,15000,2,8,0.231117
processes,100000,15000,2,8,1.459784
processes,1000000,15000,2,8,13.632172
processes,2000000,15000,2,8,27.405927
processes,4000000,15000,2,8,63.662951
processes,5000000,15000,2,8,80.197565
processes,10000,15000,2,9,0.235944
processes,100000,15000,2,9,1.477767
processes,1000000,15000,2,9,13.403944
processes,2000000,15000,2,9,27.254057
processes,4000000,15000,2,9,63.789549
processes,5000000,15000,2,9,80.273443
processes,10000,15000,2,10,0.232030
processes,100000,15000,2,10,1.445476
processes,1000000,15000,2,10,13.498609
processes,2000000,15000,2,10,28.368922
processes,4000000,15000,2,10,65.712011
processes,5000000,15000,2,10,80.182998
processes,10000,15000,4,1,0.181688
processes,100000,15000,4,1,0.815403
processes,1000000,15000,4,1,7.195693
processes,2000000,15000,4,1,30.279777
processes,4000000,15000,4,1,67.457057
processes,5000000,15000,4,1,82.686631
processes,10000,15000,4,2,0.176454
processes,100000,15000,4,2,0.826817
processes,1000000,15000,4,2,7.098464
processes,2000000,15000,4,2,30.465512
processes,4000000,15000,4,2,64.852951
processes,5000000,15000,4,2,82.722685
processes,10000,15000,4,3,0.189802
processes,100000,15000,4,3,0.821657
processes,1000000,15000,4,3,7.102067
processes,2000000,15000,4,3,29.361705
processes,4000000,15000,4,3,65.675650
processes,5000000,15000,4,3,82.855753
processes,10000,15000,4,4,0.188419
processes,100000,15000,4,4,0.813077
processes,1000000,15000,4,4,7.133700
processes,2000000,15000,4,4,29.186424
processes,4000000,15000,4,4,64.534500
processes,5000000,15000,4,4,82.837656
processes,10000,15000,4,5,0.175792
processes,100000,15000,4,5,0.824819
processes,1000000,15000,4,5,7.106703
processes,2000000,15000,4,5,30.067058
processes,4000000,15000,4,5,67.638893
processes,5000000,15000,4,5,82.638759
processes,10000,15000,4,6,0.189618
processes,100000,15000,4,6,0.822546
processes,1000000,15000,4,6,7.128252
processes,2000000,15000,4,6,29.579394
processes,4000000,15000,4,6,65.098087
processes,5000000,15000,4,6,84.453545
processes,10000,15000,4,7,0.181603
processes,100000,15000,4,7,0.838184
processes,1000000,15000,4,7,7.154497
processes,2000000,15000,4,7,29.379686
processes,4000000,15000,4,7,64.913468
processes,5000000,15000,4,7,84.652041
processes,10000,15000,4,8,0.175653
processes,100000,15000,4,8,0.806614
processes,1000000,15000,4,8,7.171974
processes,2000000,15000,4,8,29.924534
processes,4000000,15000,4,8,64.039111
processes,5000000,15000,4,8,84.789522
processes,10000,15000,4,9,0.187139
processes,100000,15000,4,9,0.831328
processes,1000000,15000,4,9,7.168683
processes,2000000,15000,4,9,30.385067
processes,4000000,15000,4,9,65.998566
processes,5000000,15000,4,9,84.632604
processes,10000,15000,4,10,0.194237
processes,100000,15000,4,10,0.814560
processes,1000000,15000,4,10,7.386930
processes,2000000,15000,4,10,30.270601
processes,4000000,15000,4,10,64.795958
processes,5000000,15000,4,10,82.820759
processes,10000,15000,8,1,0.207823
processes,100000,15000,8,1,0.602687
processes,1000000,15000,8,1,4.427600
processes,2000000,15000,8,1,31.657050
processes,4000000,15000,8,1,69.965474
processes,5000000,15000,8,1,87.611340
processes,10000,15000,8,2,0.190714
processes,100000,15000,8,2,0.612032
processes,1000000,15000,8,2,4.549895
processes,2000000,15000,8,2,31.912849
processes,4000000,15000,8,2,70.226392
processes,5000000,15000,8,2,87.784880
processes,10000,15000,8,3,0.187518
processes,100000,15000,8,3,0.643864
processes,1000000,15000,8,3,4.324543
processes,2000000,15000,8,3,31.754120
processes,4000000,15000,8,3,70.035837
processes,5000000,15000,8,3,87.720752
processes,10000,15000,8,4,0.186035
processes,100000,15000,8,4,0.663924
processes,1000000,15000,8,4,4.509125
processes,2000000,15000,8,4,31.888756
processes,4000000,15000,8,4,70.052129
processes,5000000,15000,8,4,87.688657
processes,10000,15000,8,5,0.189576
processes,100000,15000,8,5,0.611487
processes,1000000,15000,8,5,4.515752
processes,2000000,15000,8,5,31.837347
processes,4000000,15000,8,5,69.859324
processes,5000000,15000,8,5,87.600353
processes,10000,15000,8,6,0.210854
processes,100000,15000,8,6,0.646450
processes,1000000,15000,8,6,4.574631
processes,2000000,15000,8,6,31.756031
processes,4000000,15000,8,6,70.013900
processes,5000000,15000,8,6,87.608983
processes,10000,15000,8,7,0.210473
processes,100000,15000,8,7,0.669039
processes,1000000,15000,8,7,4.503221
processes,2000000,15000,8,7,31.905581
processes,4000000,15000,8,7,70.066348
processes,5000000,15000,8,7,87.690624
processes,10000,15000,8,8,0.206118
processes,100000,15000,8,8,0.671815
processes,1000000,15000,8,8,4.497815
processes,2000000,15000,8,8,31.681066
processes,4000000,15000,8,8,69.888589
processes,5000000,15000,8,8,87.786026
processes,10000,15000,8,9,0.208981
processes,100000,15000,8,9,0.675714
processes,1000000,15000,8,9,4.425911
processes,2000000,15000,8,9,31.863522
processes,4000000,15000,8,9,69.766908
processes,5000000,15000,8,9,87.689480
processes,10000,15000,8,10,0.183984
processes,100000,15000,8,10,0.638374
processes,1000000,15000,8,10,4.397846
processes,2000000,15000,8,10,31.628781
processes,4000000,15000,8,10,69.869936
processes,5000000,15000,8,10,87.508805
processes,10000,15000,16,1,0.302877
processes,100000,15000,16,1,0.620894
processes,1000000,15000,16,1,4.698979
processes,2000000,15000,16,1,33.913662
processes,4000000,15000,16,1,72.316320
processes,5000000,15000,16,1,90.344201
processes,10000,15000,16,2,0.272217
processes,100000,15000,16,2,0.617959
processes,1000000,15000,16,2,4.618443
processes,2000000,15000,16,2,33.904548
