implementation,n,nsweeps,workers,avg_s,min_s,max_s,stddev_s,runs
processes,10000,15000,2,0.235321,0.231117,0.245254,0.003936,10
processes,10000,15000,4,0.184040,0.175653,0.194237,0.006360,10
processes,10000,15000,8,0.198208,0.183984,0.210854,0.010848,10
processes,10000,15000,16,0.285509,0.272217,0.302877,0.009216,10
processes,100000,15000,2,1.469071,1.443207,1.504551,0.018810,10
processes,100000,15000,4,0.821500,0.806614,0.838184,0.008906,10
processes,100000,15000,8,0.643539,0.602687,0.675714,0.025739,10
processes,100000,15000,16,0.619953,0.616352,0.622822,0.002209,10
processes,1000000,15000,2,13.485664,13.384302,13.632172,0.084167,10
processes,1000000,15000,4,7.164696,7.098464,7.386930,0.080301,10
processes,1000000,15000,8,4.472634,4.324543,4.574631,0.072711,10
processes,1000000,15000,16,4.656974,4.610518,4.715145,0.034338,10
processes,2000000,15000,2,28.004453,27.254057,28.934594,0.582335,10
processes,2000000,15000,4,29.889976,29.186424,30.465512,0.451292,10
processes,2000000,15000,8,31.788510,31.628781,31.912849,0.101884,10
processes,2000000,15000,16,33.800969,33.663887,33.913662,0.079614,10
processes,4000000,15000,2,64.108149,61.382938,65.712011,1.480675,10
processes,4000000,15000,4,65.500424,64.039111,67.638893,1.147634,10
processes,4000000,15000,8,69.974484,69.766908,70.226392,0.125691,10
processes,4000000,15000,16,72.347416,72.211074,72.753137,0.147167,10
processes,5000000,15000,2,80.349742,78.668904,82.204237,1.085593,10
processes,5000000,15000,4,83.508995,82.638759,84.789522,0.922168,10
processes,5000000,15000,8,87.668990,87.508805,87.786026,0.082690,10
processes,5000000,15000,16,90.438630,90.219437,90.711155,0.134991,10
seq,10000,15000,1,0.304221,0.299306,0.317592,0.005556,10
seq,100000,15000,1,3.072151,3.035393,3.145133,0.030373,10
seq,1000000,15000,1,30.849755,30.677108,31.120691,0.114508,10
seq,2000000,15000,1,61.004513,60.575845,61.291828,0.233457,10
seq,4000000,15000,1,123.834228,122.131368,125.325710,1.207551,10
seq,5000000,15000,1,153.930029,153.328858,154.787031,0.389254,10
seq_mem,10000,15000,1,0.227202,0.212463,0.242988,0.009246,10
seq_mem,100000,15000,1,2.490720,2.452217,2.529532,0.026515,10
seq_mem,1000000,15000,1,25.299062,25.185945,25.487979,0.082502,10
seq_mem,2000000,15000,1,49.876139,49.764138,49.977156,0.084392,10
seq_mem,4000000,15000,1,99.798638,98.247688,100.569378,0.823533,10
seq_mem,5000000,15000,1,126.487963,125.207934,127.511346,0.704818,10
seq_o3,10000,15000,1,0.031999,0.030989,0.032742,0.000549,10
seq_o3,100000,15000,1,0.376314,0.373010,0.390509,0.004935,10
seq_o3,1000000,15000,1,8.102955,8.036071,8.194450,0.048143,10
seq_o3,2000000,15000,1,22.180972,22.085875,22.288941,0.059300,10
seq_o3,4000000,15000,1,53.015132,52.508119,53.727990,0.373975,10
seq_o3,5000000,15000,1,70.616727,68.513869,74.722566,2.133397,10
threads,10000,15000,2,0.204970,0.202987,0.208770,0.001904,10
threads,10000,15000,4,0.139861,0.135991,0.147758,0.003221,10
threads,10000,15000,8,0.121770,0.111031,0.132979,0.006767,10
threads,10000,15000,16,0.138505,0.137154,0.141119,0.001183,10
threads,100000,15000,2,1.660724,1.624238,1.680149,0.016496,10
threads,100000,15000,4,0.905721,0.885770,0.944274,0.016470,10
threads,100000,15000,8,0.578309,0.553091,0.611443,0.017088,10
threads,100000,15000,16,0.550211,0.518853,0.591380,0.019216,10
threads,1000000,15000,2,16.332390,16.173606,16.563393,0.114728,10
threads,1000000,15000,4,8.650216,8.498081,8.827988,0.102007,10
threads,1000000,15000,8,5.084383,4.848849,5.336727,0.128178,10
threads,1000000,15000,16,4.600996,4.532668,4.698628,0.054599,10
threads,2000000,15000,2,32.269448,31.941932,32.707042,0.273835,10
threads,2000000,15000,4,31.048672,29.428250,31.731129,0.633587,10
threads,2000000,15000,8,32.005725,31.926452,32.176367,0.071207,10
threads,2000000,15000,16,34.051906,33.699397,34.420597,0.248977,10
threads,4000000,15000,2,65.947168,64.606790,67.307585,0.917886,10
threads,4000000,15000,4,65.482836,64.351072,66.203938,0.582372,10
threads,4000000,15000,8,68.354937,68.156054,68.446992,0.087058,10
threads,4000000,15000,16,71.627652,71.247575,71.868975,0.182506,10
threads,5000000,15000,2,82.125764,81.229642,83.818456,0.744453,10
threads,5000000,15000,4,82.572356,82.213218,83.111225,0.278438,10
threads,5000000,15000,8,85.668849,85.402435,86.128339,0.212936,10
threads,5000000,15000,16,89.508623,89.232428,89.773604,0.169551,10
