version,hilos,N,pasos,densidad,densidad_real,tiempo_s,mceldas_s,velocidad,trial
serial,1,10000000,1000,0.1000,0.1001,31.475137,317.71,1.000000,1
serial,1,10000000,1000,0.3000,0.3001,39.195191,255.13,1.000000,1
serial,1,10000000,1000,0.5000,0.5001,23.090798,433.07,0.975041,1
serial,1,10000000,1000,0.7000,0.7001,39.520344,253.03,0.428387,1
serial,1,10000000,1000,0.9000,0.8999,29.321196,341.05,0.111189,1
serial,1,10000000,1000,1.0000,1.0000,22.543831,443.58,0.000000,1
serial,1,10000000,1000,0.1000,0.1001,30.932931,323.28,1.000000,2
serial,1,10000000,1000,0.3000,0.3001,38.427515,260.23,1.000000,2
serial,1,10000000,1000,0.5000,0.5001,23.004573,434.70,0.975041,2
serial,1,10000000,1000,0.7000,0.7001,39.316383,254.35,0.428387,2
serial,1,10000000,1000,0.9000,0.8999,29.263116,341.73,0.111189,2
serial,1,10000000,1000,1.0000,1.0000,22.276235,448.91,0.000000,2
serial,1,10000000,1000,0.1000,0.1001,31.002006,322.56,1.000000,3
serial,1,10000000,1000,0.3000,0.3001,38.468960,259.95,1.000000,3
serial,1,10000000,1000,0.5000,0.5001,23.389840,427.54,0.975041,3
serial,1,10000000,1000,0.7000,0.7001,39.854153,250.91,0.428387,3
serial,1,10000000,1000,0.9000,0.8999,29.515484,338.81,0.111189,3
serial,1,10000000,1000,1.0000,1.0000,22.695531,440.62,0.000000,3
serial,1,10000000,1000,0.1000,0.1001,31.784941,314.61,1.000000,4
serial,1,10000000,1000,0.3000,0.3001,38.455801,260.04,1.000000,4
serial,1,10000000,1000,0.5000,0.5001,23.570110,424.27,0.975041,4
serial,1,10000000,1000,0.7000,0.7001,40.345467,247.86,0.428387,4
serial,1,10000000,1000,0.9000,0.8999,29.773517,335.87,0.111189,4
serial,1,10000000,1000,1.0000,1.0000,22.453135,445.37,0.000000,4
serial,1,10000000,1000,0.1000,0.1001,30.516826,327.69,1.000000,5
serial,1,10000000,1000,0.3000,0.3001,38.417299,260.30,1.000000,5
serial,1,10000000,1000,0.5000,0.5001,23.074854,433.37,0.975041,5
serial,1,10000000,1000,0.7000,0.7001,39.326667,254.28,0.428387,5
serial,1,10000000,1000,0.9000,0.8999,29.383226,340.33,0.111189,5
serial,1,10000000,1000,1.0000,1.0000,22.369514,447.04,0.000000,5
