version,hilos,N,pasos,densidad,densidad_real,tiempo_s,mceldas_s,velocidad,trial
openmp,2,100000,1000,0.5000,0.4993,0.123410,810.31,0.979582,1
openmp,4,100000,1000,0.5000,0.4993,0.063161,1583.26,0.979582,1
openmp,8,100000,1000,0.5000,0.4993,0.038736,2581.55,0.979582,1
openmp,16,100000,1000,0.5000,0.4993,0.049466,2021.59,0.979582,1
openmp,2,1000000,1000,0.5000,0.4994,1.236981,808.42,0.975811,1
openmp,4,1000000,1000,0.5000,0.4994,0.617060,1620.59,0.975811,1
openmp,8,1000000,1000,0.5000,0.4994,0.315260,3171.98,0.975811,1
openmp,16,1000000,1000,0.5000,0.4994,0.396728,2520.62,0.975811,1
openmp,2,5000000,1000,0.5000,0.5002,6.165724,810.93,0.974948,1
openmp,4,5000000,1000,0.5000,0.5002,3.179726,1572.46,0.974948,1
openmp,8,5000000,1000,0.5000,0.5002,2.177914,2295.78,0.974948,1
openmp,16,5000000,1000,0.5000,0.5002,2.648022,1888.20,0.974948,1
openmp,2,10000000,1000,0.5000,0.5001,12.595743,793.92,0.975041,1
openmp,4,10000000,1000,0.5000,0.5001,6.413966,1559.10,0.975041,1
openmp,8,10000000,1000,0.5000,0.5001,4.500302,2222.07,0.975041,1
openmp,16,10000000,1000,0.5000,0.5001,5.179136,1930.82,0.975041,1
openmp,2,50000000,1000,0.5000,0.5000,61.745603,809.77,0.975282,1
openmp,4,50000000,1000,0.5000,0.5000,31.837188,1570.49,0.975282,1
openmp,8,50000000,1000,0.5000,0.5000,22.219525,2250.27,0.975282,1
openmp,16,50000000,1000,0.5000,0.5000,24.660077,2027.57,0.975282,1
openmp,2,100000,1000,0.5000,0.4993,0.121494,823.08,0.979582,2
openmp,4,100000,1000,0.5000,0.4993,0.065088,1536.39,0.979582,2
openmp,8,100000,1000,0.5000,0.4993,0.056748,1762.18,0.979582,2
openmp,16,100000,1000,0.5000,0.4993,0.313311,319.17,0.979582,2
openmp,2,1000000,1000,0.5000,0.4994,1.213589,824.00,0.975811,2
openmp,4,1000000,1000,0.5000,0.4994,0.619858,1613.27,0.975811,2
openmp,8,1000000,1000,0.5000,0.4994,0.308618,3240.25,0.975811,2
openmp,16,1000000,1000,0.5000,0.4994,0.306939,3257.97,0.975811,2
openmp,2,5000000,1000,0.5000,0.5002,6.258931,798.86,0.974948,2
openmp,4,5000000,1000,0.5000,0.5002,3.333947,1499.72,0.974948,2
openmp,8,5000000,1000,0.5000,0.5002,2.484698,2012.32,0.974948,2
openmp,16,5000000,1000,0.5000,0.5002,3.483109,1435.50,0.974948,2
openmp,2,10000000,1000,0.5000,0.5001,12.487764,800.78,0.975041,2
openmp,4,10000000,1000,0.5000,0.5001,6.449655,1550.47,0.975041,2
openmp,8,10000000,1000,0.5000,0.5001,4.605447,2171.34,0.975041,2
openmp,16,10000000,1000,0.5000,0.5001,5.353929,1867.79,0.975041,2
openmp,2,50000000,1000,0.5000,0.5000,61.975382,806.77,0.975282,2
openmp,4,50000000,1000,0.5000,0.5000,31.828221,1570.93,0.975282,2
openmp,8,50000000,1000,0.5000,0.5000,22.305017,2241.65,0.975282,2
openmp,16,50000000,1000,0.5000,0.5000,24.736611,2021.30,0.975282,2
openmp,2,100000,1000,0.5000,0.4993,0.122504,816.30,0.979582,3
openmp,4,100000,1000,0.5000,0.4993,0.063634,1571.49,0.979582,3
openmp,8,100000,1000,0.5000,0.4993,0.038300,2610.97,0.979582,3
openmp,16,100000,1000,0.5000,0.4993,0.040380,2476.47,0.979582,3
openmp,2,1000000,1000,0.5000,0.4994,1.238165,807.65,0.975811,3
openmp,4,1000000,1000,0.5000,0.4994,0.617135,1620.39,0.975811,3
openmp,8,1000000,1000,0.5000,0.4994,0.320225,3122.81,0.975811,3
openmp,16,1000000,1000,0.5000,0.4994,0.361544,2765.91,0.975811,3
openmp,2,5000000,1000,0.5000,0.5002,6.253074,799.61,0.974948,3
openmp,4,5000000,1000,0.5000,0.5002,3.250643,1538.16,0.974948,3
openmp,8,5000000,1000,0.5000,0.5002,2.286337,2186.90,0.974948,3
openmp,16,5000000,1000,0.5000,0.5002,2.809857,1779.45,0.974948,3
openmp,2,10000000,1000,0.5000,0.5001,12.498564,800.09,0.975041,3
openmp,4,10000000,1000,0.5000,0.5001,6.479586,1543.31,0.975041,3
openmp,8,10000000,1000,0.5000,0.5001,4.567169,2189.54,0.975041,3
openmp,16,10000000,1000,0.5000,0.5001,5.330498,1876.00,0.975041,3
openmp,2,50000000,1000,0.5000,0.5000,62.102685,805.12,0.975282,3
openmp,4,50000000,1000,0.5000,0.5000,31.951258,1564.88,0.975282,3
openmp,8,50000000,1000,0.5000,0.5000,22.276431,2244.52,0.975282,3
openmp,16,50000000,1000,0.5000,0.5000,24.799339,2016.18,0.975282,3
openmp,2,100000,1000,0.5000,0.4993,0.124664,802.15,0.979582,4
openmp,4,100000,1000,0.5000,0.4993,0.065426,1528.45,0.979582,4
openmp,8,100000,1000,0.5000,0.4993,0.039070,2559.53,0.979582,4
openmp,16,100000,1000,0.5000,0.4993,0.091363,1094.53,0.979582,4
openmp,2,1000000,1000,0.5000,0.4994,1.216019,822.36,0.975811,4
openmp,4,1000000,1000,0.5000,0.4994,0.617650,1619.04,0.975811,4
openmp,8,1000000,1000,0.5000,0.4994,0.321198,3113.34,0.975811,4
openmp,16,1000000,1000,0.5000,0.4994,0.342539,2919.37,0.975811,4
openmp,2,5000000,1000,0.5000,0.5002,6.263812,798.24,0.974948,4
openmp,4,5000000,1000,0.5000,0.5002,3.227752,1549.07,0.974948,4
openmp,8,5000000,1000,0.5000,0.5002,2.146623,2329.24,0.974948,4
openmp,16,5000000,1000,0.5000,0.5002,2.597481,1924.94,0.974948,4
openmp,2,10000000,1000,0.5000,0.5001,12.508162,799.48,0.975041,4
openmp,4,10000000,1000,0.5000,0.5001,6.423090,1556.88,0.975041,4
openmp,8,10000000,1000,0.5000,0.5001,4.501355,2221.55,0.975041,4
openmp,16,10000000,1000,0.5000,0.5001,5.200603,1922.85,0.975041,4
openmp,2,50000000,1000,0.5000,0.5000,62.001502,806.43,0.975282,4
openmp,4,50000000,1000,0.5000,0.5000,31.952193,1564.84,0.975282,4
openmp,8,50000000,1000,0.5000,0.5000,22.218956,2250.33,0.975282,4
openmp,16,50000000,1000,0.5000,0.5000,25.015395,1998.77,0.975282,4
openmp,2,100000,1000,0.5000,0.4993,0.125534,796.60,0.979582,5
openmp,4,100000,1000,0.5000,0.4993,0.065108,1535.90,0.979582,5
openmp,8,100000,1000,0.5000,0.4993,0.038415,2603.17,0.979582,5
openmp,16,100000,1000,0.5000,0.4993,0.044617,2241.28,0.979582,5
openmp,2,1000000,1000,0.5000,0.4994,1.225097,816.26,0.975811,5
openmp,4,1000000,1000,0.5000,0.4994,0.617142,1620.37,0.975811,5
openmp,8,1000000,1000,0.5000,0.4994,0.309102,3235.18,0.975811,5
openmp,16,1000000,1000,0.5000,0.4994,0.341057,2932.06,0.975811,5
openmp,2,5000000,1000,0.5000,0.5002,6.214825,804.53,0.974948,5
openmp,4,5000000,1000,0.5000,0.5002,3.230982,1547.52,0.974948,5
openmp,8,5000000,1000,0.5000,0.5002,2.155383,2319.77,0.974948,5
openmp,16,5000000,1000,0.5000,0.5002,2.686034,1861.48,0.974948,5
openmp,2,10000000,1000,0.5000,0.5001,12.501168,799.93,0.975041,5
openmp,4,10000000,1000,0.5000,0.5001,6.440250,1552.73,0.975041,5
openmp,8,10000000,1000,0.5000,0.5001,4.488931,2227.70,0.975041,5
openmp,16,10000000,1000,0.5000,0.5001,5.380026,1858.73,0.975041,5
openmp,2,50000000,1000,0.5000,0.5000,62.120101,804.89,0.975282,5
openmp,4,50000000,1000,0.5000,0.5000,31.944664,1565.21,0.975282,5
openmp,8,50000000,1000,0.5000,0.5000,22.270911,2245.08,0.975282,5
openmp,16,50000000,1000,0.5000,0.5000,24.703477,2024.01,0.975282,5
