version,hilos,N,pasos,densidad,densidad_real,tiempo_s,mceldas_s,velocidad,trial
serial,1,100000,1000,0.5000,0.4993,0.221441,451.59,0.979582,1
serial,1,1000000,1000,0.5000,0.4994,2.292775,436.15,0.975811,1
serial,1,5000000,1000,0.5000,0.5002,11.599580,431.05,0.974948,1
serial,1,10000000,1000,0.5000,0.5001,23.457837,426.30,0.975041,1
serial,1,50000000,1000,0.5000,0.5000,117.450371,425.71,0.975282,1
serial,1,100000,1000,0.5000,0.4993,0.219408,455.77,0.979582,2
serial,1,1000000,1000,0.5000,0.4994,2.291977,436.30,0.975811,2
serial,1,5000000,1000,0.5000,0.5002,11.583912,431.63,0.974948,2
serial,1,10000000,1000,0.5000,0.5001,23.383550,427.65,0.975041,2
serial,1,50000000,1000,0.5000,0.5000,115.700079,432.15,0.975282,2
serial,1,100000,1000,0.5000,0.4993,0.227691,439.19,0.979582,3
serial,1,1000000,1000,0.5000,0.4994,2.284597,437.71,0.975811,3
serial,1,5000000,1000,0.5000,0.5002,11.529277,433.68,0.974948,3
serial,1,10000000,1000,0.5000,0.5001,22.953515,435.66,0.975041,3
serial,1,50000000,1000,0.5000,0.5000,115.399418,433.28,0.975282,3
serial,1,100000,1000,0.5000,0.4993,0.220001,454.54,0.979582,4
serial,1,1000000,1000,0.5000,0.4994,2.279799,438.64,0.975811,4
serial,1,5000000,1000,0.5000,0.5002,11.515161,434.21,0.974948,4
serial,1,10000000,1000,0.5000,0.5001,22.944709,435.83,0.975041,4
serial,1,50000000,1000,0.5000,0.5000,115.897073,431.42,0.975282,4
serial,1,100000,1000,0.5000,0.4993,0.225522,443.41,0.979582,5
serial,1,1000000,1000,0.5000,0.4994,2.361546,423.45,0.975811,5
serial,1,5000000,1000,0.5000,0.5002,11.569968,432.15,0.974948,5
serial,1,10000000,1000,0.5000,0.5001,23.136526,432.22,0.975041,5
serial,1,50000000,1000,0.5000,0.5000,118.308519,422.62,0.975282,5
