version,hilos,N,pasos,densidad,densidad_real,tiempo_s,mceldas_s,velocidad,trial
serial,1,100000,1000,0.5000,0.4993,0.064992,1538.65,0.979582,1
serial,1,1000000,1000,0.5000,0.4994,0.708949,1410.54,0.975811,1
serial,1,5000000,1000,0.5000,0.5002,3.674472,1360.74,0.974948,1
serial,1,10000000,1000,0.5000,0.5001,7.164264,1395.82,0.975041,1
serial,1,50000000,1000,0.5000,0.5000,36.458899,1371.41,0.975282,1
serial,1,100000,1000,0.5000,0.4993,0.062759,1593.39,0.979582,2
serial,1,1000000,1000,0.5000,0.4994,0.693264,1442.45,0.975811,2
serial,1,5000000,1000,0.5000,0.5002,3.845565,1300.20,0.974948,2
serial,1,10000000,1000,0.5000,0.5001,7.724065,1294.66,0.975041,2
serial,1,50000000,1000,0.5000,0.5000,36.830266,1357.58,0.975282,2
serial,1,100000,1000,0.5000,0.4993,0.066833,1496.26,0.979582,3
serial,1,1000000,1000,0.5000,0.4994,0.688498,1452.44,0.975811,3
serial,1,5000000,1000,0.5000,0.5002,3.620501,1381.02,0.974948,3
serial,1,10000000,1000,0.5000,0.5001,7.257603,1377.87,0.975041,3
serial,1,50000000,1000,0.5000,0.5000,36.402953,1373.51,0.975282,3
serial,1,100000,1000,0.5000,0.4993,0.065040,1537.52,0.979582,4
serial,1,1000000,1000,0.5000,0.4994,0.684135,1461.70,0.975811,4
serial,1,5000000,1000,0.5000,0.5002,3.958979,1262.95,0.974948,4
serial,1,10000000,1000,0.5000,0.5001,7.475178,1337.76,0.975041,4
serial,1,50000000,1000,0.5000,0.5000,35.199959,1420.46,0.975282,4
serial,1,100000,1000,0.5000,0.4993,0.065291,1531.61,0.979582,5
serial,1,1000000,1000,0.5000,0.4994,0.688304,1452.85,0.975811,5
serial,1,5000000,1000,0.5000,0.5002,3.580890,1396.30,0.974948,5
serial,1,10000000,1000,0.5000,0.5001,7.133314,1401.87,0.975041,5
serial,1,50000000,1000,0.5000,0.5000,35.071160,1425.67,0.975282,5
