N,version,tiempo_s,std_tiempo_s,speedup_vs_serial_o0,trials
100000,Serial O0,0.2228126,0.0032409047255357597,1.0,5
100000,Serial O3,0.064983,0.001301297045259078,3.4287829124540266,5
1000000,Serial O0,2.3021388000000003,0.030089665178595806,1.0,5
1000000,Serial O3,0.6926300000000001,0.00865637848063496,3.3237642031098855,5
5000000,Serial O0,11.559579600000001,0.032221968087625674,1.0,5
5000000,Serial O3,3.7360813999999998,0.14346352597172557,3.0940384757141537,5
10000000,Serial O0,23.1752274,0.21310063871194806,1.0,5
10000000,Serial O3,7.3508848,0.22162045548856724,3.1527126367155147,5
50000000,Serial O0,116.55109200000001,1.1292094013933833,1.0,5
50000000,Serial O3,35.992647399999996,0.7162178560763763,3.2381916980077445,5
